samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-42.31084	-74.04397	-32.5468	56.14323	-5.69569	-54.51589	-55.32956	-34.98781	-155.41097	103.33609	105.7771	100.89508	0
1	-32.5468	-74.04397	-42.31084	51.26121	4.88202	-59.39791	-50.44754	-30.10579	-150.52895	100.89508	103.33609	100.89508	0
2	-10.57771	-52.07488	-42.31084	29.29212	14.64606	-47.19286	-50.44754	-30.10579	-145.64693	96.01306	98.45407	96.01306	0
3	12.20505	-30.10579	-42.31084	7.32303	26.85111	-34.98781	-55.32956	-34.98781	-150.52895	96.01306	98.45407	96.01306	0
4	31.73313	-20.34175	-52.07488	-5.69569	41.49717	-34.98781	-60.21158	-44.75185	-155.41097	93.57205	96.01306	93.57205	0
5	43.93818	0	-44.75185	-22.78276	43.93818	-22.78276	-65.0936	-52.07488	-160.29299	83.80801	86.24902	81.367	0
6	43.93818	31.73313	-13.01872	-37.42882	29.29212	9.76404	-74.85764	-64.27993	-170.05703	78.92599	81.367	76.48498	0
7	19.52808	48.8202	29.29212	-34.98781	-5.69569	39.05616	-82.18067	-74.04397	-179.82107	74.04397	76.48498	71.60296	0
8	-3.25468	36.61515	39.05616	-17.90074	-20.34175	36.61515	-91.94471	-86.24902	-189.58511	59.39791	61.83892	59.39791	0
9	-37.42882	0	36.61515	17.08707	-37.42882	17.08707	-96.82673	-93.57205	-194.46713	52.07488	52.07488	49.63387	0
10	-81.367	-44.75185	36.61515	61.02525	-59.39791	-5.69569	-101.70875	-100.89508	-199.34915	44.75185	47.19286	42.31084	0
11	-115.54114	-88.69003	26.85111	100.08141	-71.60296	-32.5468	-111.47279	-108.21811	-206.67218	39.86983	42.31084	39.86983	0
12	-135.06922	-120.42316	14.64606	126.93252	-76.48498	-54.51589	-121.23683	-115.54114	-213.99521	32.5468	34.98781	32.5468	0
13	-154.5973	-135.06922	19.52808	144.01959	-88.69003	-59.39791	-121.23683	-117.98215	-216.43622	27.66478	30.10579	27.66478	0
14	-154.5973	-130.1872	24.4101	141.57858	-91.13104	-54.51589	-116.35481	-115.54114	-213.99521	32.5468	34.98781	32.5468	0
15	-122.86417	-93.57205	29.29212	107.40444	-76.48498	-32.5468	-104.14976	-105.7771	-206.67218	37.42882	39.86983	34.98781	0
16	-78.92599	-49.63387	29.29212	63.46626	-54.51589	-10.57771	-89.5037	-93.57205	-196.90814	34.98781	37.42882	34.98781	0
17	-39.86983	-8.1367	31.73313	21.96909	-37.42882	12.20505	-69.97562	-74.04397	-179.82107	27.66478	30.10579	27.66478	0
18	-0.81367	26.85111	26.85111	-13.01872	-13.01872	26.85111	-40.6835	-49.63387	-157.85198	32.5468	34.98781	32.5468	0
19	34.17414	63.46626	29.29212	-49.63387	1.62734	46.37919	-28.47845	-34.98781	-145.64693	25.22377	25.22377	22.78276	0
20	61.02525	95.19939	34.17414	-78.92599	14.64606	65.90727	-28.47845	-32.5468	-143.20592	20.34175	22.78276	20.34175	0
21	58.58424	92.75838	34.17414	-76.48498	12.20505	63.46626	-28.47845	-30.10579	-140.76491	17.90074	17.90074	15.45973	0
22	29.29212	58.58424	29.29212	-44.75185	-0.81367	43.93818	-21.15542	-25.22377	-135.88289	17.90074	17.90074	15.45973	0
23	7.32303	36.61515	29.29212	-22.78276	-10.57771	34.17414	-21.15542	-27.66478	-135.88289	17.90074	20.34175	17.90074	0
24	-13.01872	21.96909	34.17414	-5.69569	-22.78276	26.85111	-30.91946	-39.86983	-148.08794	15.45973	15.45973	13.01872	0
25	-32.5468	12.20505	43.93818	9.76404	-37.42882	26.85111	-38.24249	-49.63387	-155.41097	13.01872	13.01872	10.57771	0
26	-34.98781	7.32303	41.49717	12.20505	-37.42882	24.4101	-28.47845	-42.31084	-148.08794	8.1367	8.1367	8.1367	0
27	-17.90074	21.96909	39.05616	-3.25468	-27.66478	29.29212	-16.2734	-30.10579	-135.88289	3.25468	5.69569	3.25468	0
28	4.88202	46.37919	41.49717	-25.22377	-17.90074	43.93818	-6.50936	-22.78276	-126.11885	3.25468	5.69569	3.25468	0
29	31.73313	51.26121	19.52808	-42.31084	7.32303	36.61515	3.25468	-8.1367	-109.03178	3.25468	3.25468	3.25468	0
30	46.37919	61.02525	14.64606	-54.51589	17.08707	39.05616	23.59643	12.20505	-84.62168	-4.88202	-4.88202	-7.32303	0
31	61.02525	75.67131	14.64606	-69.16195	24.4101	46.37919	38.24249	29.29212	-65.0936	-17.08707	-14.64606	-17.08707	0
32	58.58424	85.43535	26.85111	-71.60296	17.08707	56.14323	40.6835	31.73313	-57.77057	-17.08707	-14.64606	-19.52808	0
33	34.17414	51.26121	17.08707	-42.31084	9.76404	34.17414	38.24249	31.73313	-57.77057	-14.64606	-14.64606	-17.08707	0
34	-5.69569	12.20505	17.08707	-3.25468	-10.57771	14.64606	26.03744	19.52808	-69.97562	-12.20505	-14.64606	-17.08707	0
35	-59.39791	-5.69569	53.70222	31.73313	-56.9569	24.4101	3.25468	-5.69569	-91.94471	-12.20505	-14.64606	-14.64606	0
36	-86.24902	-5.69569	80.55333	43.93818	-83.80801	36.61515	-28.47845	-42.31084	-131.00087	-4.88202	-7.32303	-9.76404	0
37	-105.7771	-10.57771	95.19939	56.14323	-100.89508	41.49717	-50.44754	-64.27993	-155.41097	0.81367	0.81367	-2.44101	0
38	-110.65912	-22.78276	87.87636	65.90727	-100.89508	31.73313	-57.77057	-74.04397	-167.61602	15.45973	15.45973	13.01872	0
39	-98.45407	-10.57771	87.87636	53.70222	-93.57205	39.05616	-57.77057	-76.48498	-172.49804	25.22377	25.22377	25.22377	0
40	-64.27993	24.4101	87.87636	19.52808	-76.48498	56.14323	-52.88855	-71.60296	-174.93905	32.5468	34.98781	32.5468	0
41	-3.25468	70.78929	73.2303	-34.98781	-37.42882	70.78929	-43.12451	-61.83892	-165.17501	44.75185	47.19286	44.75185	0
42	53.70222	90.31737	36.61515	-71.60296	9.76404	63.46626	-18.71441	-39.86983	-145.64693	47.19286	47.19286	44.75185	0
43	75.67131	73.2303	-2.44101	-74.04397	39.05616	36.61515	3.25468	-13.01872	-121.23683	47.19286	49.63387	47.19286	0
44	92.75838	39.05616	-54.51589	-66.72094	73.2303	-8.1367	23.59643	4.06835	-106.59077	44.75185	44.75185	42.31084	0
45	100.08141	29.29212	-71.60296	-64.27993	85.43535	-20.34175	33.36047	9.76404	-99.26774	32.5468	34.98781	32.5468	0
46	95.19939	53.70222	-42.31084	-74.04397	68.34828	7.32303	23.59643	1.62734	-111.47279	20.34175	20.34175	17.90074	0
47	68.34828	51.26121	-17.90074	-59.39791	43.93818	17.08707	13.83239	-10.57771	-123.67784	10.57771	10.57771	10.57771	0
48	39.05616	48.8202	9.76404	-44.75185	14.64606	29.29212	0.81367	-22.78276	-138.3239	3.25468	3.25468	0.81367	0
49	14.64606	58.58424	43.93818	-37.42882	-15.45973	51.26121	-16.2734	-42.31084	-157.85198	-4.88202	-4.88202	-7.32303	0
50	-3.25468	80.55333	82.99434	-39.86983	-42.31084	80.55333	-38.24249	-64.27993	-179.82107	3.25468	3.25468	0.81367	0
51	-15.45973	92.75838	107.40444	-39.86983	-61.83892	100.08141	-62.65259	-88.69003	-209.11319	10.57771	10.57771	10.57771	0
52	-44.75185	41.49717	85.43535	1.62734	-64.27993	63.46626	-74.85764	-100.89508	-223.75925	15.45973	15.45973	15.45973	0
53	-66.72094	-13.01872	53.70222	39.05616	-61.83892	19.52808	-79.73966	-108.21811	-231.08228	20.34175	22.78276	22.78276	0
54	-86.24902	-56.9569	29.29212	70.78929	-59.39791	-15.45973	-84.62168	-113.10013	-238.40531	25.22377	25.22377	25.22377	0
55	-96.01306	-88.69003	7.32303	90.31737	-52.07488	-42.31084	-89.5037	-117.98215	-245.72834	32.5468	34.98781	34.98781	0
56	-108.21811	-110.65912	-2.44101	107.40444	-54.51589	-56.9569	-96.82673	-125.30518	-250.61036	34.98781	37.42882	37.42882	0
57	-130.1872	-125.30518	4.88202	126.93252	-69.16195	-61.83892	-99.26774	-127.74619	-250.61036	27.66478	27.66478	27.66478	0
58	-135.06922	-120.42316	14.64606	126.93252	-76.48498	-54.51589	-96.82673	-122.86417	-245.72834	25.22377	27.66478	25.22377	0
59	-122.86417	-98.45407	24.4101	109.84545	-74.04397	-37.42882	-87.06269	-113.10013	-235.9643	27.66478	30.10579	27.66478	0
60	-98.45407	-71.60296	26.85111	82.99434	-64.27993	-22.78276	-69.97562	-96.01306	-221.31824	30.10579	30.10579	27.66478	0
61	-74.04397	-47.19286	26.85111	58.58424	-52.07488	-10.57771	-52.88855	-76.48498	-201.79016	27.66478	27.66478	27.66478	0
62	-44.75185	-25.22377	19.52808	34.17414	-32.5468	-2.44101	-40.6835	-66.72094	-192.02612	27.66478	27.66478	27.66478	0
63	-15.45973	-5.69569	9.76404	9.76404	-13.01872	2.44101	-28.47845	-54.51589	-182.26208	27.66478	27.66478	27.66478	0
64	2.44101	0	-2.44101	-0.81367	1.62734	0	-23.59643	-52.07488	-177.38006	30.10579	30.10579	30.10579	0
65	4.88202	-10.57771	-15.45973	1.62734	9.76404	-13.01872	-33.36047	-61.83892	-184.70309	27.66478	27.66478	25.22377	0
66	-3.25468	-30.10579	-27.66478	14.64606	12.20505	-30.10579	-50.44754	-78.92599	-201.79016	17.90074	17.90074	15.45973	0
67	-22.78276	-47.19286	-25.22377	34.17414	-0.81367	-37.42882	-74.85764	-103.33609	-223.75925	13.01872	15.45973	13.01872	0
68	-61.83892	-74.04397	-13.01872	65.90727	-25.22377	-44.75185	-91.94471	-120.42316	-240.84632	3.25468	3.25468	0.81367	0
69	-81.367	-120.42316	-39.86983	100.08141	-22.78276	-81.367	-96.82673	-122.86417	-240.84632	-4.88202	-4.88202	-7.32303	0
70	-76.48498	-154.5973	-78.92599	114.72747	-0.81367	-117.98215	-94.38572	-122.86417	-238.40531	-2.44101	-2.44101	-2.44101	0
71	-61.83892	-157.03831	-96.01306	107.40444	17.08707	-127.74619	-87.06269	-113.10013	-228.64127	3.25468	5.69569	3.25468	0
72	-44.75185	-139.95124	-96.01306	90.31737	24.4101	-117.98215	-74.85764	-100.89508	-216.43622	17.90074	17.90074	17.90074	0
73	-25.22377	-117.98215	-93.57205	70.78929	34.17414	-105.7771	-62.65259	-88.69003	-201.79016	22.78276	22.78276	22.78276	0
74	-0.81367	-98.45407	-98.45407	48.8202	48.8202	-98.45407	-48.00653	-76.48498	-189.58511	27.66478	27.66478	27.66478	0
75	17.08707	-61.83892	-78.92599	21.96909	46.37919	-69.16195	-43.12451	-76.48498	-187.1441	37.42882	37.42882	37.42882	0
76	17.08707	-5.69569	-22.78276	-5.69569	19.52808	-13.01872	-57.77057	-91.13104	-199.34915	37.42882	39.86983	37.42882	0
77	9.76404	36.61515	26.85111	-22.78276	-8.1367	31.73313	-65.0936	-98.45407	-206.67218	32.5468	32.5468	32.5468	0
78	-5.69569	39.05616	43.93818	-17.90074	-25.22377	41.49717	-69.97562	-105.7771	-209.11319	25.22377	25.22377	25.22377	0
79	-10.57771	34.17414	43.93818	-13.01872	-27.66478	39.05616	-77.29865	-113.10013	-213.99521	25.22377	25.22377	22.78276	0
80	-17.90074	9.76404	26.85111	1.62734	-22.78276	17.08707	-82.18067	-117.98215	-218.87723	27.66478	27.66478	27.66478	0
81	-32.5468	-22.78276	9.76404	26.85111	-22.78276	-8.1367	-89.5037	-122.86417	-221.31824	30.10579	27.66478	27.66478	0
82	-49.63387	-47.19286	2.44101	46.37919	-27.66478	-22.78276	-94.38572	-127.74619	-223.75925	30.10579	30.10579	30.10579	0
83	-61.83892	-78.92599	-17.90074	68.34828	-22.78276	-49.63387	-99.26774	-132.62821	-228.64127	32.5468	32.5468	30.10579	0
84	-71.60296	-110.65912	-39.86983	90.31737	-17.90074	-76.48498	-101.70875	-135.06922	-228.64127	32.5468	32.5468	32.5468	0
85	-81.367	-154.5973	-74.04397	117.16848	-5.69569	-115.54114	-99.26774	-130.1872	-223.75925	30.10579	30.10579	30.10579	0
86	-96.01306	-181.44841	-86.24902	136.69656	-5.69569	-135.06922	-99.26774	-130.1872	-221.31824	17.90074	17.90074	17.90074	0
87	-96.01306	-149.71528	-54.51589	122.0505	-22.78276	-103.33609	-101.70875	-135.06922	-223.75925	5.69569	5.69569	5.69569	0
88	-71.60296	-96.01306	-25.22377	82.99434	-25.22377	-61.83892	-99.26774	-130.1872	-221.31824	3.25468	3.25468	3.25468	0
89	-47.19286	-54.51589	-8.1367	48.8202	-20.34175	-32.5468	-89.5037	-122.86417	-211.5542	-2.44101	-2.44101	-2.44101	0
90	-22.78276	-13.01872	9.76404	17.08707	-17.90074	-2.44101	-77.29865	-113.10013	-196.90814	0.81367	-2.44101	-2.44101	0
91	-10.57771	19.52808	29.29212	-5.69569	-20.34175	24.4101	-72.41663	-108.21811	-189.58511	0.81367	0.81367	0.81367	0
92	-5.69569	51.26121	56.14323	-22.78276	-30.10579	53.70222	-69.97562	-113.10013	-189.58511	5.69569	5.69569	5.69569	0
93	2.44101	61.02525	58.58424	-32.5468	-27.66478	61.02525	-69.97562	-113.10013	-187.1441	22.78276	22.78276	22.78276	0
94	-8.1367	31.73313	39.05616	-13.01872	-22.78276	34.17414	-77.29865	-117.98215	-189.58511	37.42882	37.42882	37.42882	0
95	-44.75185	-20.34175	24.4101	31.73313	-34.98781	2.44101	-89.5037	-132.62821	-201.79016	44.75185	44.75185	42.31084	0
96	-86.24902	-74.04397	12.20505	78.11232	-49.63387	-32.5468	-106.59077	-149.71528	-216.43622	47.19286	47.19286	47.19286	0
