samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	97.6404	-51.26121	-148.90161	-24.4101	121.23683	-98.45407	-59.39791	-65.90727	-153.78363	52.07488	1.62734	-24.4101	0
1	90.31737	-58.58424	-148.90161	-17.08707	118.79582	-103.33609	-59.39791	-65.90727	-153.78363	47.19286	-0.81367	-26.85111	0
2	75.67131	-73.2303	-148.90161	-2.44101	111.47279	-110.65912	-56.9569	-63.46626	-151.34262	39.86983	-8.1367	-34.17414	0
3	73.2303	-78.11232	-151.34262	0	111.47279	-113.10013	-49.63387	-58.58424	-146.4606	34.98781	-10.57771	-36.61515	0
4	78.11232	-73.2303	-151.34262	-2.44101	113.9138	-110.65912	-42.31084	-51.26121	-141.57858	32.5468	-13.01872	-36.61515	0
5	61.02525	-85.43535	-146.4606	10.57771	101.70875	-115.54114	-37.42882	-48.8202	-139.13757	32.5468	-17.90074	-39.05616	0
6	46.37919	-107.40444	-153.78363	30.10579	99.26774	-130.1872	-42.31084	-53.70222	-144.01959	22.78276	-30.10579	-48.8202	0
7	43.93818	-119.60949	-163.54767	37.42882	101.70875	-139.95124	-47.19286	-58.58424	-148.90161	15.45973	-37.42882	-56.14323	0
8	26.85111	-131.81454	-158.66565	52.07488	91.94471	-144.83326	-47.19286	-58.58424	-148.90161	15.45973	-39.86983	-58.58424	0
9	26.85111	-126.93252	-153.78363	49.63387	89.5037	-139.95124	-39.86983	-51.26121	-141.57858	22.78276	-37.42882	-56.14323	0
10	29.29212	-126.93252	-156.22464	47.19286	91.94471	-139.95124	-37.42882	-48.8202	-141.57858	22.78276	-37.42882	-53.70222	0
11	24.4101	-136.69656	-161.10666	54.51589	91.94471	-147.27427	-37.42882	-48.8202	-144.01959	17.90074	-42.31084	-58.58424	0
12	26.85111	-136.69656	-163.54767	54.51589	94.38572	-149.71528	-34.98781	-48.8202	-144.01959	13.01872	-42.31084	-56.14323	0
13	9.76404	-144.01959	-153.78363	66.72094	79.73966	-147.27427	-30.10579	-43.93818	-141.57858	10.57771	-39.86983	-53.70222	0
14	9.76404	-141.57858	-151.34262	64.27993	79.73966	-144.83326	-27.66478	-41.49717	-141.57858	5.69569	-42.31084	-53.70222	0
15	14.64606	-141.57858	-156.22464	61.83892	84.62168	-147.27427	-25.22377	-39.05616	-141.57858	3.25468	-47.19286	-56.14323	0
16	2.44101	-156.22464	-158.66565	76.48498	79.73966	-157.03831	-30.10579	-41.49717	-146.4606	0	-54.51589	-63.46626	0
17	-10.57771	-165.98868	-156.22464	86.24902	72.41663	-161.92033	-32.5468	-41.49717	-146.4606	0	-56.9569	-68.34828	0
18	-10.57771	-165.98868	-156.22464	86.24902	72.41663	-161.92033	-32.5468	-41.49717	-146.4606	0	-59.39791	-68.34828	0
19	2.44101	-156.22464	-158.66565	76.48498	79.73966	-157.03831	-32.5468	-39.05616	-144.01959	5.69569	-59.39791	-70.78929	0
20	12.20505	-151.34262	-163.54767	69.16195	87.06269	-157.03831	-30.10579	-36.61515	-141.57858	8.1367	-56.9569	-70.78929	0
21	9.76404	-158.66565	-168.42969	74.04397	87.06269	-161.92033	-30.10579	-36.61515	-144.01959	8.1367	-59.39791	-73.2303	0
