samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	2.44101	15.45973	13.01872	-8.1367	-6.50936	15.45973	13.83239	46.37919	-14.64606	8.95037	9.76404	-21.96909	0
1	2.44101	13.01872	10.57771	-8.1367	-4.06835	13.01872	16.2734	48.8202	-14.64606	8.95037	9.76404	-21.96909	0
2	2.44101	13.01872	10.57771	-8.1367	-4.06835	13.01872	16.2734	53.70222	-17.08707	6.50936	7.32303	-24.4101	0
3	4.88202	13.01872	8.1367	-8.1367	-1.62734	10.57771	11.39138	53.70222	-21.96909	0.81367	0	-29.29212	0
4	2.44101	8.1367	5.69569	-5.69569	-1.62734	8.1367	6.50936	53.70222	-26.85111	-4.06835	-5.69569	-36.61515	0
5	2.44101	5.69569	3.25468	-3.25468	-1.62734	5.69569	4.06835	53.70222	-34.17414	-8.95037	-10.57771	-41.49717	0
6	-0.81367	5.69569	5.69569	-3.25468	-4.06835	5.69569	-1.62734	46.37919	-39.05616	-11.39138	-15.45973	-43.93818	0
7	-0.81367	0	0	-0.81367	-1.62734	0	-1.62734	36.61515	-41.49717	-13.83239	-15.45973	-43.93818	0
8	-3.25468	0	3.25468	-0.81367	-4.06835	0	1.62734	31.73313	-41.49717	-13.83239	-13.01872	-39.05616	0
9	-5.69569	-7.32303	-2.44101	4.88202	-4.06835	-4.88202	8.95037	31.73313	-31.73313	-6.50936	-3.25468	-31.73313	0
10	-8.1367	-17.08707	-9.76404	12.20505	-1.62734	-14.64606	13.83239	29.29212	-26.85111	-1.62734	0	-24.4101	0
11	-10.57771	-24.4101	-14.64606	17.08707	1.62734	-19.52808	16.2734	29.29212	-26.85111	-1.62734	2.44101	-19.52808	0
12	-10.57771	-29.29212	-19.52808	19.52808	4.06835	-24.4101	18.71441	31.73313	-24.4101	-1.62734	4.88202	-17.08707	0
13	-8.1367	-31.73313	-24.4101	19.52808	6.50936	-29.29212	21.15542	34.17414	-21.96909	0.81367	9.76404	-12.20505	0
14	-8.1367	-31.73313	-24.4101	19.52808	6.50936	-29.29212	23.59643	36.61515	-19.52808	0.81367	12.20505	-9.76404	0
15	-8.1367	-31.73313	-24.4101	19.52808	6.50936	-29.29212	23.59643	36.61515	-21.96909	0.81367	12.20505	-7.32303	0
16	-5.69569	-26.85111	-21.96909	14.64606	6.50936	-24.4101	23.59643	31.73313	-24.4101	0.81367	14.64606	-7.32303	0
17	2.44101	-17.08707	-19.52808	7.32303	8.95037	-17.08707	28.47845	31.73313	-21.96909	6.50936	19.52808	-4.88202	0
18	2.44101	-14.64606	-17.08707	4.88202	8.95037	-14.64606	28.47845	31.73313	-21.96909	8.95037	19.52808	-1.62734	0
19	-0.81367	-17.08707	-17.08707	7.32303	6.50936	-17.08707	28.47845	29.29212	-24.4101	8.95037	21.96909	-1.62734	0
20	-3.25468	-21.96909	-19.52808	12.20505	6.50936	-21.96909	26.03744	26.85111	-26.85111	6.50936	21.96909	-1.62734	0
21	-3.25468	-24.4101	-21.96909	12.20505	8.95037	-24.4101	23.59643	26.85111	-31.73313	0.81367	19.52808	-4.88202	0
22	-5.69569	-24.4101	-19.52808	14.64606	6.50936	-21.96909	21.15542	29.29212	-36.61515	-1.62734	14.64606	-4.88202	0
23	-15.45973	-31.73313	-17.08707	21.96909	-1.62734	-24.4101	18.71441	29.29212	-41.49717	-8.95037	7.32303	-14.64606	0
24	-27.66478	-41.49717	-14.64606	34.17414	-8.95037	-29.29212	16.2734	29.29212	-46.37919	-13.83239	2.44101	-21.96909	0
25	-22.78276	-39.05616	-17.08707	29.29212	-4.06835	-29.29212	16.2734	29.29212	-51.26121	-16.2734	-3.25468	-29.29212	0
26	-22.78276	-43.93818	-21.96909	31.73313	-1.62734	-34.17414	16.2734	26.85111	-56.14323	-21.15542	-8.1367	-34.17414	0
27	-20.34175	-46.37919	-26.85111	31.73313	1.62734	-36.61515	16.2734	26.85111	-56.14323	-23.59643	-8.1367	-34.17414	0
28	-22.78276	-51.26121	-29.29212	36.61515	1.62734	-41.49717	21.15542	24.4101	-56.14323	-21.15542	-5.69569	-34.17414	0
29	-20.34175	-53.70222	-34.17414	36.61515	6.50936	-43.93818	21.15542	24.4101	-53.70222	-21.15542	-3.25468	-34.17414	0
30	-10.57771	-51.26121	-41.49717	29.29212	13.83239	-46.37919	23.59643	24.4101	-53.70222	-18.71441	-3.25468	-29.29212	0
31	-5.69569	-51.26121	-46.37919	26.85111	18.71441	-48.8202	26.03744	29.29212	-48.8202	-13.83239	2.44101	-24.4101	0
32	-0.81367	-48.8202	-48.8202	24.4101	23.59643	-48.8202	28.47845	31.73313	-46.37919	-11.39138	7.32303	-21.96909	0
33	2.44101	-39.05616	-41.49717	17.08707	21.15542	-39.05616	33.36047	36.61515	-43.93818	-8.95037	9.76404	-19.52808	0
34	4.88202	-34.17414	-39.05616	14.64606	21.15542	-36.61515	33.36047	36.61515	-41.49717	-6.50936	9.76404	-19.52808	0
35	2.44101	-34.17414	-36.61515	14.64606	18.71441	-34.17414	35.80148	36.61515	-43.93818	-8.95037	7.32303	-21.96909	0
36	-0.81367	-39.05616	-39.05616	19.52808	18.71441	-39.05616	35.80148	36.61515	-43.93818	-8.95037	7.32303	-21.96909	0
37	-3.25468	-39.05616	-36.61515	19.52808	16.2734	-39.05616	35.80148	36.61515	-43.93818	-8.95037	7.32303	-21.96909	0
38	-5.69569	-39.05616	-34.17414	21.96909	13.83239	-36.61515	35.80148	34.17414	-43.93818	-8.95037	9.76404	-21.96909	0
39	-8.1367	-39.05616	-31.73313	21.96909	11.39138	-36.61515	35.80148	31.73313	-43.93818	-8.95037	12.20505	-19.52808	0
40	-10.57771	-43.93818	-34.17414	26.85111	11.39138	-39.05616	30.91946	31.73313	-46.37919	-11.39138	12.20505	-21.96909	0
41	-10.57771	-46.37919	-36.61515	26.85111	11.39138	-41.49717	28.47845	31.73313	-48.8202	-13.83239	9.76404	-21.96909	0
42	-10.57771	-43.93818	-34.17414	26.85111	11.39138	-39.05616	28.47845	34.17414	-48.8202	-13.83239	9.76404	-21.96909	0
43	-8.1367	-43.93818	-36.61515	24.4101	13.83239	-41.49717	28.47845	34.17414	-46.37919	-13.83239	9.76404	-24.4101	0
44	-8.1367	-41.49717	-34.17414	24.4101	11.39138	-39.05616	26.03744	34.17414	-48.8202	-13.83239	7.32303	-29.29212	0
45	-8.1367	-41.49717	-34.17414	24.4101	11.39138	-39.05616	26.03744	34.17414	-51.26121	-16.2734	2.44101	-34.17414	0
46	-5.69569	-41.49717	-36.61515	21.96909	13.83239	-39.05616	23.59643	29.29212	-53.70222	-16.2734	2.44101	-36.61515	0
47	-5.69569	-36.61515	-31.73313	19.52808	11.39138	-34.17414	23.59643	26.85111	-53.70222	-16.2734	2.44101	-36.61515	0
48	-0.81367	-31.73313	-31.73313	14.64606	13.83239	-31.73313	26.03744	26.85111	-51.26121	-13.83239	4.88202	-36.61515	0
49	7.32303	-24.4101	-31.73313	7.32303	18.71441	-26.85111	28.47845	26.85111	-51.26121	-11.39138	9.76404	-34.17414	0
50	9.76404	-21.96909	-31.73313	4.88202	18.71441	-26.85111	28.47845	26.85111	-51.26121	-11.39138	9.76404	-34.17414	0
51	12.20505	-24.4101	-36.61515	4.88202	23.59643	-29.29212	28.47845	29.29212	-51.26121	-11.39138	12.20505	-34.17414	0
52	14.64606	-26.85111	-41.49717	4.88202	26.03744	-34.17414	28.47845	31.73313	-51.26121	-11.39138	12.20505	-31.73313	0
53	17.08707	-29.29212	-46.37919	4.88202	30.91946	-36.61515	28.47845	34.17414	-51.26121	-13.83239	12.20505	-31.73313	0
54	14.64606	-34.17414	-48.8202	9.76404	30.91946	-41.49717	28.47845	34.17414	-51.26121	-16.2734	12.20505	-31.73313	0
55	7.32303	-41.49717	-48.8202	17.08707	26.03744	-43.93818	28.47845	31.73313	-53.70222	-18.71441	7.32303	-36.61515	0
56	-0.81367	-48.8202	-48.8202	24.4101	23.59643	-48.8202	26.03744	26.85111	-56.14323	-21.15542	4.88202	-36.61515	0
57	-3.25468	-51.26121	-48.8202	26.85111	21.15542	-51.26121	26.03744	21.15542	-53.70222	-21.15542	4.88202	-36.61515	0
58	-10.57771	-58.58424	-48.8202	34.17414	18.71441	-53.70222	28.47845	21.15542	-53.70222	-21.15542	4.88202	-34.17414	0
59	-15.45973	-61.02525	-46.37919	36.61515	13.83239	-53.70222	28.47845	18.71441	-53.70222	-21.15542	4.88202	-34.17414	0
60	-15.45973	-61.02525	-46.37919	36.61515	13.83239	-53.70222	28.47845	18.71441	-51.26121	-23.59643	4.88202	-31.73313	0
61	-10.57771	-58.58424	-48.8202	34.17414	18.71441	-53.70222	30.91946	21.15542	-51.26121	-21.15542	9.76404	-29.29212	0
62	-3.25468	-56.14323	-53.70222	29.29212	23.59643	-56.14323	30.91946	26.85111	-48.8202	-21.15542	9.76404	-29.29212	0
63	4.88202	-48.8202	-53.70222	21.96909	28.47845	-51.26121	33.36047	34.17414	-48.8202	-21.15542	9.76404	-29.29212	0
64	14.64606	-43.93818	-58.58424	14.64606	35.80148	-51.26121	35.80148	39.05616	-48.8202	-21.15542	7.32303	-29.29212	0
65	19.52808	-41.49717	-61.02525	9.76404	38.24249	-51.26121	35.80148	39.05616	-48.8202	-21.15542	7.32303	-29.29212	0
66	19.52808	-41.49717	-61.02525	9.76404	38.24249	-51.26121	33.36047	36.61515	-48.8202	-21.15542	7.32303	-29.29212	0
67	17.08707	-43.93818	-61.02525	12.20505	38.24249	-51.26121	28.47845	31.73313	-51.26121	-23.59643	4.88202	-29.29212	0
68	12.20505	-43.93818	-56.14323	14.64606	33.36047	-48.8202	26.03744	26.85111	-56.14323	-23.59643	4.88202	-31.73313	0
69	7.32303	-46.37919	-53.70222	19.52808	28.47845	-48.8202	23.59643	24.4101	-56.14323	-23.59643	4.88202	-29.29212	0
70	2.44101	-46.37919	-48.8202	21.96909	23.59643	-46.37919	23.59643	21.15542	-53.70222	-21.15542	7.32303	-26.85111	0
71	2.44101	-43.93818	-46.37919	19.52808	23.59643	-43.93818	26.03744	21.15542	-48.8202	-18.71441	9.76404	-24.4101	0
72	2.44101	-41.49717	-43.93818	19.52808	21.15542	-41.49717	28.47845	21.15542	-46.37919	-16.2734	12.20505	-24.4101	0
73	4.88202	-39.05616	-43.93818	17.08707	23.59643	-41.49717	30.91946	21.15542	-46.37919	-21.15542	7.32303	-26.85111	0
74	7.32303	-36.61515	-43.93818	14.64606	23.59643	-39.05616	33.36047	24.4101	-46.37919	-21.15542	7.32303	-26.85111	0
75	12.20505	-36.61515	-48.8202	12.20505	28.47845	-41.49717	38.24249	24.4101	-43.93818	-21.15542	9.76404	-26.85111	0
76	9.76404	-41.49717	-51.26121	14.64606	28.47845	-46.37919	38.24249	24.4101	-43.93818	-18.71441	12.20505	-24.4101	0
77	2.44101	-53.70222	-56.14323	24.4101	28.47845	-53.70222	35.80148	21.15542	-43.93818	-21.15542	9.76404	-24.4101	0
78	-5.69569	-63.46626	-58.58424	34.17414	26.03744	-61.02525	30.91946	18.71441	-48.8202	-26.03744	7.32303	-24.4101	0
79	-10.57771	-73.2303	-63.46626	41.49717	26.03744	-68.34828	30.91946	16.2734	-48.8202	-26.03744	9.76404	-21.96909	0
80	-15.45973	-80.55333	-65.90727	46.37919	23.59643	-73.2303	30.91946	13.83239	-46.37919	-21.15542	17.08707	-14.64606	0
81	-20.34175	-85.43535	-65.90727	51.26121	21.15542	-75.67131	30.91946	13.83239	-43.93818	-16.2734	19.52808	-12.20505	0
82	-20.34175	-87.87636	-68.34828	53.70222	23.59643	-78.11232	30.91946	16.2734	-43.93818	-18.71441	19.52808	-14.64606	0
83	-13.01872	-87.87636	-75.67131	48.8202	30.91946	-82.99434	26.03744	18.71441	-48.8202	-21.15542	14.64606	-19.52808	0
84	-5.69569	-82.99434	-78.11232	43.93818	35.80148	-80.55333	26.03744	21.15542	-51.26121	-21.15542	14.64606	-19.52808	0
