samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-73.2303	46.37919	118.79582	13.01872	-96.01306	82.99434	-27.66478	14.64606	59.39791	-9.76404	-1507.73051	8.95037	0
1	-75.67131	46.37919	121.23683	13.01872	-98.45407	82.99434	-25.22377	17.08707	59.39791	-13.01872	-1629.78101	6.50936	0
2	-80.55333	53.70222	133.44188	13.01872	-105.7771	92.75838	-25.22377	17.08707	56.9569	-15.45973	-1036.61558	4.06835	0
3	-80.55333	41.49717	121.23683	17.90074	-100.89508	80.55333	-32.5468	9.76404	49.63387	-15.45973	-1646.86808	1.62734	0
4	-104.96343	19.52808	123.67784	42.31084	-113.10013	70.78929	-37.42882	2.44101	42.31084	-7.32303	-572.82368	11.39138	0
5	-107.40444	21.96909	128.55986	42.31084	-117.98215	75.67131	-34.98781	4.88202	42.31084	-7.32303	1402.76708	11.39138	0
6	-112.28646	34.17414	145.64693	37.42882	-127.74619	90.31737	-32.5468	9.76404	44.75185	-7.32303	2312.45014	11.39138	0
7	-112.28646	41.49717	152.96996	34.98781	-132.62821	97.6404	-34.98781	7.32303	39.86983	-4.88202	1733.93077	16.2734	0
8	-104.96343	43.93818	148.08794	30.10579	-125.30518	95.19939	-37.42882	7.32303	42.31084	-4.88202	-6.50936	13.83239	0
9	-100.08141	39.05616	138.3239	30.10579	-117.98215	87.87636	-30.10579	12.20505	47.19286	-7.32303	-934.09316	11.39138	0
10	-92.75838	48.8202	140.76491	20.34175	-115.54114	95.19939	-22.78276	19.52808	54.51589	-13.01872	-419.04005	4.06835	0
11	-90.31737	56.14323	145.64693	15.45973	-117.98215	100.08141	-20.34175	21.96909	59.39791	-9.76404	-978.03134	8.95037	0
12	-90.31737	61.02525	150.52895	13.01872	-120.42316	104.96343	-15.45973	24.4101	61.83892	-4.88202	-1493.08445	13.83239	0
13	-90.31737	56.14323	145.64693	15.45973	-117.98215	100.08141	-17.90074	24.4101	61.83892	-7.32303	-1954.43534	8.95037	0
14	-95.19939	65.90727	160.29299	13.01872	-127.74619	112.28646	-20.34175	21.96909	56.9569	-4.88202	-2039.87069	13.83239	0
15	-107.40444	73.2303	179.82107	15.45973	-142.39225	126.93252	-20.34175	21.96909	56.9569	-2.44101	-52.88855	13.83239	0
16	-102.52242	85.43535	187.1441	7.32303	-144.83326	136.69656	-20.34175	24.4101	56.9569	2.44101	772.9865	21.15542	0
17	-85.43535	97.6404	182.26208	-7.32303	-132.62821	139.13757	-20.34175	24.4101	56.9569	7.32303	106.59077	23.59643	0
18	-87.87636	100.08141	187.1441	-7.32303	-137.51023	144.01959	-17.90074	24.4101	59.39791	7.32303	-1729.86242	26.03744	0
19	-82.99434	102.52242	184.70309	-9.76404	-132.62821	144.01959	-17.90074	24.4101	59.39791	9.76404	-1541.90465	28.47845	0
20	-78.11232	104.96343	182.26208	-14.64606	-130.1872	144.01959	-8.1367	31.73313	69.16195	17.08707	-1112.28689	33.36047	0
21	-68.34828	112.28646	179.82107	-21.96909	-122.86417	146.4606	-5.69569	31.73313	69.16195	21.96909	-504.4754	40.6835	0
22	-61.02525	112.28646	172.49804	-26.85111	-115.54114	141.57858	-5.69569	26.85111	64.27993	21.96909	-1046.37962	38.24249	0
23	-75.67131	109.84545	184.70309	-17.08707	-130.1872	146.4606	-13.01872	19.52808	61.83892	12.20505	-1512.61253	28.47845	0
24	-87.87636	100.08141	187.1441	-7.32303	-137.51023	144.01959	-20.34175	12.20505	52.07488	0	-1661.51414	18.71441	0
25	-87.87636	102.52242	189.58511	-7.32303	-137.51023	146.4606	-20.34175	12.20505	49.63387	4.88202	277.46147	21.15542	0
26	-82.99434	112.28646	194.46713	-14.64606	-137.51023	153.78363	-20.34175	14.64606	47.19286	2.44101	1061.02568	21.15542	0
27	-75.67131	124.49151	199.34915	-24.4101	-137.51023	161.10666	-20.34175	14.64606	44.75185	2.44101	428.80409	21.15542	0
28	-63.46626	129.37353	192.02612	-34.17414	-127.74619	161.10666	-10.57771	21.96909	54.51589	7.32303	-1385.68001	26.03744	0
29	-56.14323	139.13757	194.46713	-41.49717	-125.30518	165.98868	-0.81367	29.29212	59.39791	7.32303	-1175.75315	26.03744	0
30	-43.93818	153.78363	196.90814	-56.14323	-120.42316	175.75272	7.32303	36.61515	66.72094	14.64606	-765.66347	33.36047	0
31	-43.93818	156.22464	199.34915	-56.14323	-120.42316	178.19373	14.64606	41.49717	71.60296	9.76404	-221.31824	26.03744	0
32	-43.93818	148.90161	192.02612	-53.70222	-117.98215	170.8707	14.64606	36.61515	69.16195	4.88202	-816.92468	21.15542	0
33	-56.14323	129.37353	184.70309	-36.61515	-120.42316	156.22464	17.08707	39.05616	74.04397	7.32303	-1356.38789	23.59643	0
34	-68.34828	134.25555	201.79016	-34.17414	-135.06922	168.42969	12.20505	34.17414	66.72094	2.44101	-1558.99172	18.71441	0
