samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	12.20505	-59.39791	-71.60296	23.59643	41.49717	-64.27993	-47.19286	-34.98781	-22.78276	-67.53461	-69.97562	-67.53461	0
1	9.76404	-64.27993	-74.04397	26.03744	41.49717	-69.16195	-47.19286	-34.98781	-25.22377	-72.41663	-74.85764	-72.41663	0
2	0	-71.60296	-71.60296	34.17414	34.17414	-71.60296	-49.63387	-39.86983	-27.66478	-74.85764	-79.73966	-77.29865	0
3	-4.88202	-76.48498	-71.60296	39.05616	31.73313	-74.04397	-52.07488	-44.75185	-32.5468	-67.53461	-69.97562	-67.53461	0
4	0	-76.48498	-76.48498	36.61515	36.61515	-76.48498	-54.51589	-44.75185	-32.5468	-60.21158	-62.65259	-60.21158	0
5	2.44101	-76.48498	-78.92599	36.61515	39.05616	-76.48498	-54.51589	-39.86983	-30.10579	-57.77057	-60.21158	-57.77057	0
6	-4.88202	-76.48498	-71.60296	39.05616	31.73313	-74.04397	-52.07488	-37.42882	-27.66478	-43.12451	-48.00653	-43.12451	0
7	-9.76404	-76.48498	-66.72094	41.49717	26.85111	-71.60296	-49.63387	-32.5468	-22.78276	-35.80148	-40.6835	-35.80148	0
8	-4.88202	-71.60296	-66.72094	36.61515	29.29212	-69.16195	-44.75185	-25.22377	-15.45973	-30.91946	-33.36047	-30.91946	0
9	0	-66.72094	-66.72094	31.73313	31.73313	-66.72094	-42.31084	-20.34175	-10.57771	-26.03744	-30.91946	-28.47845	0
10	-4.88202	-61.83892	-56.9569	31.73313	24.4101	-59.39791	-39.86983	-17.90074	-5.69569	-28.47845	-30.91946	-28.47845	0
11	-4.88202	-52.07488	-47.19286	26.03744	19.52808	-49.63387	-32.5468	-13.01872	2.44101	-33.36047	-38.24249	-35.80148	0
12	12.20505	-37.42882	-49.63387	11.39138	29.29212	-42.31084	-25.22377	-9.76404	7.32303	-30.91946	-33.36047	-30.91946	0
13	24.4101	-21.96909	-47.19286	-0.81367	36.61515	-34.98781	-20.34175	-2.44101	17.08707	-30.91946	-33.36047	-30.91946	0
14	36.61515	-7.32303	-44.75185	-15.45973	41.49717	-25.22377	-14.64606	7.32303	21.96909	-28.47845	-30.91946	-28.47845	0
15	41.49717	2.44101	-39.86983	-22.78276	41.49717	-17.90074	-12.20505	12.20505	24.4101	-21.15542	-23.59643	-23.59643	0
16	43.93818	7.32303	-37.42882	-25.22377	41.49717	-15.45973	-4.88202	17.08707	26.85111	-16.2734	-18.71441	-16.2734	0
17	51.26121	7.32303	-44.75185	-30.10579	48.8202	-17.90074	0	19.52808	26.85111	-16.2734	-18.71441	-18.71441	0
18	51.26121	2.44101	-49.63387	-27.66478	51.26121	-22.78276	4.88202	19.52808	26.85111	-16.2734	-16.2734	-16.2734	0
19	51.26121	-7.32303	-59.39791	-22.78276	56.14323	-32.5468	4.88202	19.52808	24.4101	-26.03744	-26.03744	-26.03744	0
20	41.49717	-19.52808	-61.83892	-10.57771	51.26121	-39.86983	4.88202	17.08707	21.96909	-33.36047	-35.80148	-33.36047	0
