samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-55.32956	-9.76404	45.56552	31.73313	-52.07488	17.08707	55.32956	-8.1367	8.1367	37.42882	-28.47845	3.25468	0
1	-57.77057	-12.20505	45.56552	34.17414	-52.07488	17.08707	57.77057	-8.1367	8.1367	37.42882	-28.47845	3.25468	0
2	-60.21158	-12.20505	48.00653	34.17414	-54.51589	17.08707	62.65259	-8.1367	11.39138	39.86983	-26.03744	3.25468	0
3	-60.21158	-12.20505	48.00653	34.17414	-54.51589	17.08707	65.0936	-10.57771	13.83239	39.86983	-26.03744	3.25468	0
4	-60.21158	-12.20505	48.00653	34.17414	-54.51589	17.08707	65.0936	-8.1367	13.83239	39.86983	-26.03744	0.81367	0
5	-55.32956	-12.20505	43.12451	31.73313	-49.63387	14.64606	67.53461	-5.69569	11.39138	42.31084	-28.47845	0.81367	0
6	-52.88855	-12.20505	40.6835	31.73313	-47.19286	14.64606	67.53461	-3.25468	8.1367	42.31084	-28.47845	0.81367	0
7	-50.44754	-12.20505	38.24249	29.29212	-44.75185	12.20505	67.53461	-3.25468	5.69569	42.31084	-30.91946	0.81367	0
8	-50.44754	-4.88202	45.56552	26.85111	-49.63387	19.52808	67.53461	-0.81367	5.69569	42.31084	-30.91946	0.81367	0
9	-52.88855	-7.32303	45.56552	29.29212	-49.63387	19.52808	67.53461	-0.81367	3.25468	42.31084	-33.36047	0.81367	0
10	-52.88855	-7.32303	45.56552	29.29212	-49.63387	19.52808	69.97562	-0.81367	5.69569	44.75185	-33.36047	0.81367	0
11	-55.32956	-7.32303	48.00653	29.29212	-52.07488	19.52808	72.41663	-0.81367	8.1367	44.75185	-33.36047	0.81367	0
12	-57.77057	-9.76404	48.00653	31.73313	-54.51589	19.52808	72.41663	-0.81367	11.39138	44.75185	-33.36047	0.81367	0
13	-57.77057	-9.76404	48.00653	31.73313	-54.51589	19.52808	72.41663	-0.81367	13.83239	44.75185	-35.80148	3.25468	0
14	-57.77057	-12.20505	45.56552	34.17414	-52.07488	17.08707	72.41663	1.62734	13.83239	44.75185	-35.80148	5.69569	0
15	-52.88855	-9.76404	43.12451	29.29212	-49.63387	17.08707	74.85764	6.50936	11.39138	47.19286	-35.80148	8.1367	0
16	-50.44754	-9.76404	40.6835	29.29212	-47.19286	14.64606	72.41663	8.95037	8.1367	47.19286	-33.36047	8.1367	0
17	-50.44754	-7.32303	43.12451	26.85111	-47.19286	17.08707	69.97562	11.39138	5.69569	44.75185	-35.80148	8.1367	0
18	-45.56552	-2.44101	43.12451	21.96909	-44.75185	19.52808	69.97562	11.39138	5.69569	44.75185	-35.80148	10.57771	0
19	-48.00653	-2.44101	45.56552	24.4101	-47.19286	21.96909	69.97562	11.39138	5.69569	44.75185	-35.80148	10.57771	0
20	-52.88855	-2.44101	50.44754	26.85111	-52.07488	24.4101	69.97562	11.39138	3.25468	42.31084	-35.80148	10.57771	0
21	-55.32956	-4.88202	50.44754	29.29212	-54.51589	21.96909	67.53461	8.95037	3.25468	39.86983	-35.80148	10.57771	0
22	-55.32956	-4.88202	50.44754	29.29212	-54.51589	21.96909	67.53461	6.50936	5.69569	39.86983	-35.80148	10.57771	0
23	-55.32956	-4.88202	50.44754	29.29212	-54.51589	21.96909	67.53461	4.06835	8.1367	37.42882	-35.80148	8.1367	0
24	-55.32956	-9.76404	45.56552	31.73313	-52.07488	17.08707	67.53461	4.06835	5.69569	34.98781	-38.24249	8.1367	0
25	-55.32956	-12.20505	43.12451	31.73313	-49.63387	14.64606	67.53461	4.06835	3.25468	32.5468	-38.24249	5.69569	0
26	-50.44754	-7.32303	43.12451	26.85111	-47.19286	17.08707	65.0936	6.50936	0.81367	32.5468	-38.24249	5.69569	0
27	-48.00653	-7.32303	40.6835	26.85111	-44.75185	17.08707	65.0936	8.95037	-1.62734	30.10579	-38.24249	5.69569	0
28	-48.00653	-4.88202	43.12451	24.4101	-47.19286	19.52808	65.0936	6.50936	-4.06835	30.10579	-38.24249	5.69569	0
29	-48.00653	-2.44101	45.56552	24.4101	-47.19286	21.96909	65.0936	6.50936	-4.06835	30.10579	-38.24249	5.69569	0
30	-52.88855	-4.88202	48.00653	26.85111	-52.07488	21.96909	65.0936	4.06835	-4.06835	30.10579	-38.24249	5.69569	0
31	-52.88855	-4.88202	48.00653	26.85111	-52.07488	21.96909	62.65259	-0.81367	0.81367	32.5468	-38.24249	5.69569	0
32	-52.88855	-4.88202	48.00653	26.85111	-52.07488	21.96909	62.65259	-5.69569	3.25468	34.98781	-38.24249	5.69569	0
33	-52.88855	-4.88202	48.00653	26.85111	-52.07488	21.96909	62.65259	-10.57771	5.69569	34.98781	-38.24249	5.69569	0
34	-50.44754	-2.44101	48.00653	24.4101	-49.63387	21.96909	62.65259	-13.01872	5.69569	34.98781	-38.24249	5.69569	0
35	-45.56552	-2.44101	43.12451	21.96909	-44.75185	19.52808	60.21158	-13.01872	0.81367	32.5468	-38.24249	5.69569	0
36	-40.6835	0.81367	40.6835	19.52808	-39.86983	19.52808	57.77057	-13.01872	-1.62734	32.5468	-38.24249	5.69569	0
37	-38.24249	3.25468	40.6835	17.08707	-39.86983	21.96909	55.32956	-17.90074	-6.50936	30.10579	-40.6835	3.25468	0
38	-40.6835	3.25468	43.12451	17.08707	-42.31084	21.96909	52.88855	-22.78276	-8.95037	25.22377	-40.6835	0.81367	0
39	-40.6835	0.81367	40.6835	19.52808	-39.86983	19.52808	52.88855	-25.22377	-8.95037	25.22377	-43.12451	0.81367	0
40	-43.12451	0.81367	43.12451	19.52808	-42.31084	21.96909	52.88855	-30.10579	-8.95037	25.22377	-45.56552	0.81367	0
41	-45.56552	-2.44101	43.12451	21.96909	-44.75185	19.52808	50.44754	-34.98781	-8.95037	25.22377	-48.00653	0.81367	0
42	-50.44754	-2.44101	48.00653	24.4101	-49.63387	21.96909	48.00653	-39.86983	-6.50936	25.22377	-48.00653	0.81367	0
43	-50.44754	-2.44101	48.00653	24.4101	-49.63387	21.96909	48.00653	-44.75185	-4.06835	22.78276	-48.00653	0.81367	0
44	-48.00653	-2.44101	45.56552	24.4101	-47.19286	21.96909	48.00653	-47.19286	-4.06835	22.78276	-48.00653	-1.62734	0
45	-45.56552	-2.44101	43.12451	21.96909	-44.75185	19.52808	48.00653	-47.19286	-6.50936	20.34175	-48.00653	-1.62734	0
46	-43.12451	0.81367	43.12451	19.52808	-42.31084	21.96909	48.00653	-47.19286	-8.95037	20.34175	-48.00653	-1.62734	0
47	-43.12451	0.81367	43.12451	19.52808	-42.31084	21.96909	48.00653	-49.63387	-8.95037	20.34175	-48.00653	-1.62734	0
48	-43.12451	3.25468	45.56552	19.52808	-44.75185	24.4101	52.88855	-49.63387	-8.95037	20.34175	-45.56552	0.81367	0
49	-43.12451	3.25468	45.56552	19.52808	-44.75185	24.4101	55.32956	-52.07488	-6.50936	20.34175	-43.12451	0.81367	0
50	-45.56552	-2.44101	43.12451	21.96909	-44.75185	19.52808	55.32956	-54.51589	-6.50936	22.78276	-43.12451	0.81367	0
51	-45.56552	-2.44101	43.12451	21.96909	-44.75185	19.52808	57.77057	-56.9569	-1.62734	22.78276	-40.6835	0.81367	0
52	-45.56552	-4.88202	40.6835	24.4101	-44.75185	17.08707	57.77057	-61.83892	-1.62734	22.78276	-40.6835	3.25468	0
53	-48.00653	-7.32303	40.6835	26.85111	-44.75185	17.08707	57.77057	-66.72094	3.25468	22.78276	-40.6835	3.25468	0
54	-45.56552	-9.76404	35.80148	26.85111	-42.31084	12.20505	55.32956	-66.72094	3.25468	22.78276	-43.12451	0.81367	0
55	-40.6835	-9.76404	30.91946	24.4101	-37.42882	9.76404	52.88855	-69.16195	0.81367	22.78276	-43.12451	0.81367	0
56	-40.6835	-9.76404	30.91946	24.4101	-37.42882	9.76404	52.88855	-69.16195	-1.62734	22.78276	-43.12451	0.81367	0
57	-40.6835	-7.32303	33.36047	21.96909	-37.42882	12.20505	50.44754	-69.16195	-4.06835	22.78276	-43.12451	0.81367	0
58	-40.6835	-4.88202	35.80148	21.96909	-39.86983	14.64606	50.44754	-71.60296	-4.06835	22.78276	-43.12451	-1.62734	0
59	-40.6835	-4.88202	35.80148	21.96909	-39.86983	14.64606	50.44754	-74.04397	-4.06835	22.78276	-43.12451	-4.88202	0
60	-43.12451	-4.88202	38.24249	21.96909	-42.31084	17.08707	52.88855	-76.48498	-4.06835	20.34175	-43.12451	-4.88202	0
61	-43.12451	-4.88202	38.24249	21.96909	-42.31084	17.08707	55.32956	-78.92599	-1.62734	17.90074	-43.12451	-4.88202	0
62	-43.12451	-4.88202	38.24249	21.96909	-42.31084	17.08707	55.32956	-81.367	-1.62734	13.01872	-45.56552	-4.88202	0
63	-38.24249	-4.88202	33.36047	19.52808	-37.42882	14.64606	55.32956	-83.80801	0.81367	10.57771	-45.56552	-4.88202	0
64	-35.80148	-4.88202	30.91946	19.52808	-34.98781	12.20505	57.77057	-83.80801	0.81367	10.57771	-45.56552	-4.88202	0
65	-30.91946	-4.88202	26.03744	17.08707	-30.10579	9.76404	55.32956	-83.80801	-1.62734	8.1367	-48.00653	-1.62734	0
66	-26.03744	0.81367	26.03744	12.20505	-25.22377	12.20505	55.32956	-83.80801	-1.62734	8.1367	-48.00653	0.81367	0
67	-23.59643	3.25468	26.03744	9.76404	-25.22377	14.64606	55.32956	-83.80801	-4.06835	8.1367	-48.00653	0.81367	0
68	-23.59643	8.1367	30.91946	7.32303	-27.66478	19.52808	55.32956	-83.80801	-4.06835	8.1367	-48.00653	0.81367	0
69	-23.59643	13.01872	35.80148	4.06835	-30.10579	24.4101	55.32956	-83.80801	-1.62734	8.1367	-48.00653	0.81367	0
70	-26.03744	20.34175	45.56552	1.62734	-34.98781	31.73313	55.32956	-83.80801	0.81367	10.57771	-48.00653	3.25468	0
71	-23.59643	27.66478	50.44754	-3.25468	-37.42882	39.05616	57.77057	-83.80801	3.25468	13.01872	-48.00653	5.69569	0
72	-23.59643	30.10579	52.88855	-3.25468	-37.42882	41.49717	57.77057	-83.80801	8.1367	13.01872	-45.56552	8.1367	0
73	-23.59643	37.42882	60.21158	-8.1367	-42.31084	48.8202	62.65259	-83.80801	11.39138	15.45973	-43.12451	10.57771	0
74	-18.71441	44.75185	62.65259	-13.01872	-39.86983	53.70222	65.0936	-78.92599	16.2734	17.90074	-40.6835	17.90074	0
75	-13.83239	52.07488	65.0936	-20.34175	-39.86983	58.58424	65.0936	-74.04397	16.2734	22.78276	-35.80148	22.78276	0
76	-8.95037	56.9569	65.0936	-25.22377	-37.42882	61.02525	65.0936	-71.60296	16.2734	25.22377	-35.80148	27.66478	0
77	-8.95037	61.83892	69.97562	-27.66478	-39.86983	65.90727	67.53461	-66.72094	16.2734	25.22377	-33.36047	27.66478	0
78	-11.39138	66.72094	77.29865	-27.66478	-44.75185	70.78929	65.0936	-64.27993	16.2734	27.66478	-33.36047	30.10579	0
79	-16.2734	66.72094	82.18067	-25.22377	-49.63387	73.2303	62.65259	-64.27993	16.2734	27.66478	-33.36047	27.66478	0
80	-26.03744	61.83892	87.06269	-17.90074	-56.9569	73.2303	57.77057	-64.27993	13.83239	22.78276	-38.24249	25.22377	0
81	-23.59643	66.72094	89.5037	-22.78276	-56.9569	78.11232	55.32956	-64.27993	16.2734	22.78276	-35.80148	22.78276	0
82	-21.15542	71.60296	91.94471	-25.22377	-56.9569	80.55333	52.88855	-66.72094	18.71441	22.78276	-35.80148	22.78276	0
83	-21.15542	69.16195	89.5037	-25.22377	-54.51589	78.11232	48.00653	-69.16195	18.71441	20.34175	-35.80148	17.90074	0
84	-16.2734	69.16195	84.62168	-27.66478	-49.63387	75.67131	40.6835	-69.16195	13.83239	17.90074	-35.80148	15.45973	0
85	-8.95037	71.60296	79.73966	-32.5468	-44.75185	75.67131	35.80148	-66.72094	8.1367	15.45973	-35.80148	15.45973	0
86	4.06835	76.48498	72.41663	-39.86983	-34.98781	75.67131	28.47845	-61.83892	3.25468	13.01872	-35.80148	15.45973	0
87	6.50936	74.04397	67.53461	-39.86983	-30.10579	70.78929	21.15542	-61.83892	-4.06835	8.1367	-33.36047	13.01872	0
88	-8.95037	59.39791	67.53461	-25.22377	-37.42882	63.46626	10.57771	-69.16195	-16.2734	-4.88202	-40.6835	5.69569	0
89	-8.95037	54.51589	62.65259	-22.78276	-34.98781	58.58424	0.81367	-74.04397	-23.59643	-9.76404	-43.12451	3.25468	0
90	-0.81367	61.83892	62.65259	-30.10579	-32.5468	63.46626	-4.06835	-76.48498	-26.03744	-9.76404	-43.12451	3.25468	0
91	1.62734	59.39791	57.77057	-30.10579	-27.66478	58.58424	-11.39138	-83.80801	-28.47845	-14.64606	-43.12451	0.81367	0
92	1.62734	54.51589	52.88855	-27.66478	-25.22377	53.70222	-16.2734	-93.57205	-28.47845	-19.52808	-45.56552	-1.62734	0
93	1.62734	52.07488	50.44754	-27.66478	-25.22377	51.26121	-18.71441	-100.89508	-28.47845	-24.4101	-48.00653	-4.88202	0
94	8.95037	54.51589	45.56552	-32.5468	-17.90074	51.26121	-18.71441	-103.33609	-30.91946	-24.4101	-48.00653	-4.88202	0
95	21.15542	61.83892	40.6835	-42.31084	-10.57771	51.26121	-18.71441	-98.45407	-28.47845	-21.96909	-43.12451	-4.88202	0
96	23.59643	61.83892	38.24249	-42.31084	-8.1367	51.26121	-16.2734	-96.01306	-28.47845	-19.52808	-43.12451	-7.32303	0
97	16.2734	56.9569	40.6835	-37.42882	-13.01872	48.8202	-16.2734	-98.45407	-30.91946	-19.52808	-43.12451	-7.32303	0
98	16.2734	61.83892	45.56552	-39.86983	-15.45973	53.70222	-13.83239	-98.45407	-26.03744	-17.08707	-40.6835	-7.32303	0
99	18.71441	64.27993	45.56552	-42.31084	-13.01872	56.14323	-8.95037	-100.89508	-23.59643	-12.20505	-38.24249	-7.32303	0
100	16.2734	66.72094	50.44754	-42.31084	-17.90074	58.58424	-8.95037	-103.33609	-18.71441	-7.32303	-35.80148	-4.88202	1000	P+0
101	13.83239	66.72094	52.88855	-39.86983	-20.34175	61.02525	-8.95037	-108.21811	-13.83239	-7.32303	-35.80148	-4.88202	0
102	11.39138	61.83892	50.44754	-37.42882	-20.34175	56.14323	-8.95037	-115.54114	-11.39138	-4.88202	-33.36047	-4.88202	0
103	8.95037	54.51589	45.56552	-32.5468	-17.90074	51.26121	-8.95037	-120.42316	-8.95037	-4.88202	-30.91946	-4.88202	0
104	8.95037	52.07488	43.12451	-30.10579	-17.90074	48.8202	-11.39138	-122.86417	-8.95037	-4.88202	-30.91946	-1.62734	0
105	8.95037	44.75185	35.80148	-27.66478	-13.01872	41.49717	-11.39138	-122.86417	-11.39138	-7.32303	-28.47845	-1.62734	0
106	8.95037	42.31084	33.36047	-25.22377	-13.01872	39.05616	-11.39138	-120.42316	-11.39138	-7.32303	-28.47845	-1.62734	0
107	8.95037	37.42882	28.47845	-22.78276	-10.57771	34.17414	-8.95037	-117.98215	-11.39138	-7.32303	-28.47845	-1.62734	0
108	6.50936	37.42882	30.91946	-22.78276	-13.01872	34.17414	-8.95037	-117.98215	-11.39138	-7.32303	-26.03744	-1.62734	0
109	4.06835	37.42882	33.36047	-20.34175	-15.45973	36.61515	-6.50936	-117.98215	-8.95037	-4.88202	-21.15542	-1.62734	0
110	-0.81367	37.42882	38.24249	-17.90074	-20.34175	39.05616	-1.62734	-115.54114	-4.06835	-4.88202	-18.71441	0.81367	0
111	-5.69569	34.98781	40.6835	-15.45973	-22.78276	39.05616	0.81367	-115.54114	3.25468	0.81367	-16.2734	3.25468	0
112	-8.95037	30.10579	38.24249	-10.57771	-22.78276	34.17414	3.25468	-117.98215	8.1367	3.25468	-13.83239	5.69569	0
113	-13.83239	27.66478	40.6835	-8.1367	-27.66478	34.17414	5.69569	-120.42316	13.83239	5.69569	-8.95037	5.69569	0
114	-18.71441	22.78276	40.6835	-3.25468	-30.10579	31.73313	8.1367	-120.42316	18.71441	8.1367	-6.50936	5.69569	0
115	-26.03744	15.45973	40.6835	4.06835	-32.5468	26.85111	8.1367	-120.42316	18.71441	10.57771	-4.06835	8.1367	0
116	-30.91946	15.45973	45.56552	7.32303	-37.42882	29.29212	10.57771	-120.42316	21.15542	15.45973	-1.62734	8.1367	0
117	-38.24249	10.57771	48.00653	12.20505	-42.31084	29.29212	10.57771	-120.42316	21.15542	15.45973	1.62734	8.1367	0
118	-43.12451	10.57771	52.88855	14.64606	-47.19286	31.73313	10.57771	-120.42316	23.59643	20.34175	4.06835	10.57771	0
119	-48.00653	10.57771	57.77057	17.08707	-52.07488	34.17414	13.83239	-120.42316	26.03744	22.78276	6.50936	10.57771	0
120	-55.32956	5.69569	60.21158	24.4101	-56.9569	31.73313	13.83239	-120.42316	30.91946	25.22377	8.95037	10.57771	0
121	-57.77057	5.69569	62.65259	24.4101	-59.39791	34.17414	16.2734	-120.42316	35.80148	27.66478	11.39138	10.57771	0
122	-57.77057	3.25468	60.21158	26.85111	-59.39791	31.73313	16.2734	-122.86417	40.6835	30.10579	13.83239	13.01872	0
123	-60.21158	-2.44101	57.77057	29.29212	-59.39791	26.85111	16.2734	-125.30518	43.12451	30.10579	13.83239	10.57771	0
124	-60.21158	-2.44101	57.77057	29.29212	-59.39791	26.85111	16.2734	-125.30518	45.56552	30.10579	16.2734	10.57771	0
125	-62.65259	-4.88202	57.77057	31.73313	-61.83892	26.85111	16.2734	-122.86417	43.12451	30.10579	18.71441	10.57771	0
126	-60.21158	-4.88202	55.32956	31.73313	-59.39791	24.4101	16.2734	-122.86417	43.12451	30.10579	21.15542	10.57771	0
127	-57.77057	-4.88202	52.88855	29.29212	-56.9569	24.4101	13.83239	-120.42316	40.6835	30.10579	23.59643	10.57771	0
128	-60.21158	-4.88202	55.32956	31.73313	-59.39791	24.4101	13.83239	-120.42316	40.6835	30.10579	26.03744	10.57771	0
129	-62.65259	-7.32303	55.32956	34.17414	-59.39791	24.4101	13.83239	-120.42316	40.6835	30.10579	28.47845	10.57771	0
130	-67.53461	-7.32303	60.21158	36.61515	-64.27993	26.85111	13.83239	-120.42316	43.12451	30.10579	30.91946	10.57771	0
131	-67.53461	-9.76404	57.77057	36.61515	-64.27993	24.4101	13.83239	-122.86417	45.56552	30.10579	33.36047	10.57771	0
132	-67.53461	-9.76404	57.77057	36.61515	-64.27993	24.4101	13.83239	-125.30518	50.44754	30.10579	33.36047	10.57771	0
