samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	80.55333	-165.98868	-246.54201	41.49717	163.54767	-205.04484	-74.85764	-79.73966	-43.93818	-80.55333	-50.44754	-65.90727	0
1	75.67131	-168.42969	-244.101	46.37919	158.66565	-205.04484	-72.41663	-77.29865	-41.49717	-75.67131	-48.00653	-63.46626	0
2	68.34828	-163.54767	-231.89595	46.37919	148.90161	-197.72181	-72.41663	-74.85764	-43.93818	-75.67131	-50.44754	-63.46626	0
3	61.02525	-165.98868	-227.01393	51.26121	144.01959	-195.2808	-72.41663	-74.85764	-43.93818	-78.11232	-50.44754	-63.46626	0
4	53.70222	-173.31171	-227.01393	58.58424	139.13757	-200.16282	-67.53461	-69.97562	-41.49717	-70.78929	-48.00653	-61.02525	0
5	43.93818	-183.07575	-227.01393	68.34828	134.25555	-205.04484	-57.77057	-62.65259	-34.17414	-63.46626	-38.24249	-51.26121	0
6	41.49717	-183.07575	-224.57292	70.78929	131.81454	-202.60383	-55.32956	-57.77057	-31.73313	-58.58424	-33.36047	-48.8202	0
7	43.93818	-170.8707	-214.80888	63.46626	129.37353	-192.83979	-60.21158	-62.65259	-36.61515	-65.90727	-38.24249	-53.70222	0
8	53.70222	-168.42969	-222.13191	56.14323	136.69656	-195.2808	-65.0936	-67.53461	-41.49717	-75.67131	-48.00653	-61.02525	0
9	58.58424	-175.75272	-234.33696	58.58424	146.4606	-205.04484	-62.65259	-65.0936	-39.05616	-82.99434	-52.88855	-61.02525	0
10	56.14323	-178.19373	-234.33696	61.02525	144.01959	-205.04484	-62.65259	-65.0936	-39.05616	-92.75838	-60.21158	-65.90727	0
11	53.70222	-168.42969	-222.13191	56.14323	136.69656	-195.2808	-67.53461	-67.53461	-43.93818	-100.08141	-69.97562	-73.2303	0
12	58.58424	-158.66565	-217.24989	48.8202	136.69656	-187.95777	-72.41663	-72.41663	-46.37919	-104.96343	-77.29865	-80.55333	0
13	56.14323	-158.66565	-214.80888	51.26121	134.25555	-185.51676	-69.97562	-67.53461	-43.93818	-97.6404	-72.41663	-78.11232	0
14	61.02525	-153.78363	-214.80888	46.37919	136.69656	-183.07575	-65.0936	-62.65259	-39.05616	-85.43535	-62.65259	-70.78929	0
15	58.58424	-144.01959	-202.60383	41.49717	129.37353	-173.31171	-55.32956	-52.88855	-29.29212	-68.34828	-45.56552	-58.58424	0
16	61.02525	-131.81454	-192.83979	34.17414	126.93252	-161.10666	-50.44754	-48.00653	-19.52808	-48.8202	-30.91946	-48.8202	0
17	65.90727	-114.72747	-180.63474	24.4101	122.0505	-146.4606	-40.6835	-40.6835	-12.20505	-34.17414	-16.2734	-41.49717	0
18	70.78929	-109.84545	-180.63474	19.52808	124.49151	-144.01959	-33.36047	-33.36047	-4.88202	-26.85111	-11.39138	-36.61515	0
19	73.2303	-104.96343	-178.19373	16.2734	124.49151	-141.57858	-30.91946	-30.91946	0	-26.85111	-11.39138	-34.17414	0
20	68.34828	-119.60949	-187.95777	24.4101	126.93252	-153.78363	-28.47845	-26.03744	5.69569	-29.29212	-13.83239	-31.73313	0
21	73.2303	-124.49151	-197.72181	24.4101	134.25555	-161.10666	-30.91946	-30.91946	0	-36.61515	-26.03744	-39.05616	0
22	82.99434	-124.49151	-207.48585	19.52808	144.01959	-165.98868	-35.80148	-38.24249	-2.44101	-46.37919	-38.24249	-46.37919	0
23	82.99434	-124.49151	-207.48585	19.52808	144.01959	-165.98868	-33.36047	-35.80148	-2.44101	-48.8202	-38.24249	-43.93818	0
24	75.67131	-114.72747	-190.39878	19.52808	131.81454	-151.34262	-33.36047	-30.91946	0	-46.37919	-35.80148	-41.49717	0
25	70.78929	-104.96343	-175.75272	16.2734	122.0505	-139.13757	-28.47845	-28.47845	3.25468	-43.93818	-28.47845	-39.05616	0
