samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	69.16195	-19.52808	-88.69003	-26.03744	77.29865	-52.07488	-43.93818	-8.1367	-44.75185	-60.21158	-35.80148	3.25468	0
1	69.16195	-21.96909	-91.13104	-23.59643	79.73966	-54.51589	-48.8202	-8.1367	-47.19286	-62.65259	-35.80148	5.69569	0
2	71.60296	-21.96909	-93.57205	-26.03744	82.18067	-56.9569	-51.26121	-13.01872	-49.63387	-67.53461	-38.24249	3.25468	0
3	71.60296	-24.4101	-96.01306	-23.59643	82.18067	-59.39791	-53.70222	-15.45973	-56.9569	-72.41663	-45.56552	-1.62734	0
4	66.72094	-29.29212	-96.01306	-18.71441	79.73966	-61.83892	-56.14323	-22.78276	-61.83892	-79.73966	-50.44754	-6.50936	0
5	56.9569	-31.73313	-88.69003	-13.83239	72.41663	-59.39791	-56.14323	-25.22377	-64.27993	-82.18067	-60.21158	-13.83239	0
6	47.19286	-34.17414	-81.367	-6.50936	62.65259	-56.9569	-56.14323	-30.10579	-69.16195	-84.62168	-69.97562	-21.15542	0
7	42.31084	-34.17414	-76.48498	-4.06835	57.77057	-54.51589	-48.8202	-32.5468	-71.60296	-89.5037	-72.41663	-26.85111	0
8	27.66478	-36.61515	-64.27993	4.06835	45.56552	-49.63387	-48.8202	-34.98781	-78.92599	-96.82673	-77.29865	-36.61515	0
9	10.57771	-43.93818	-54.51589	16.2734	30.91946	-47.19286	-41.49717	-32.5468	-78.92599	-96.82673	-79.73966	-43.93818	0
10	-2.44101	-56.14323	-54.51589	28.47845	26.03744	-54.51589	-29.29212	-27.66478	-74.04397	-96.82673	-77.29865	-46.37919	0
11	-9.76404	-68.34828	-59.39791	38.24249	23.59643	-64.27993	-24.4101	-25.22377	-74.04397	-96.82673	-77.29865	-51.26121	0
12	-21.96909	-78.11232	-56.9569	48.00653	16.2734	-66.72094	-19.52808	-22.78276	-71.60296	-96.82673	-82.18067	-58.58424	0
13	-26.85111	-85.43535	-59.39791	55.32956	16.2734	-71.60296	-12.20505	-20.34175	-71.60296	-99.26774	-84.62168	-65.90727	0
14	-31.73313	-95.19939	-64.27993	62.65259	16.2734	-78.92599	-7.32303	-17.90074	-71.60296	-101.70875	-87.06269	-68.34828	0
