samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-34.17414	-130.1872	-106.59077	62.65259	40.6835	-117.16848	13.83239	21.15542	61.83892	269.32477	-165.17501	-150.52895	0
1	-34.17414	-130.1872	-106.59077	62.65259	40.6835	-117.16848	24.4101	31.73313	61.83892	269.32477	-165.17501	-150.52895	0
2	-34.17414	-130.1872	-96.01306	83.80801	30.10579	-117.16848	24.4101	21.15542	72.41663	258.74706	-165.17501	-150.52895	0
3	-44.75185	-140.76491	-96.01306	94.38572	18.71441	-117.16848	13.83239	21.15542	72.41663	258.74706	-165.17501	-150.52895	0
4	-13.01872	-140.76491	-96.01306	62.65259	18.71441	-117.16848	13.83239	21.15542	72.41663	258.74706	-143.20592	-129.37353	0
5	-2.44101	-109.03178	-96.01306	52.07488	51.26121	-117.16848	13.83239	21.15542	72.41663	258.74706	-143.20592	-118.79582	0
6	19.52808	-76.48498	-96.01306	30.10579	61.83892	-84.62168	13.83239	42.31084	82.99434	269.32477	-122.0505	-96.82673	0
7	30.10579	-65.90727	-106.59077	19.52808	72.41663	-84.62168	34.98781	42.31084	93.57205	279.90248	-111.47279	-86.24902	0
8	40.6835	-65.90727	-106.59077	8.95037	72.41663	-84.62168	34.98781	42.31084	104.14976	279.90248	-111.47279	-86.24902	0
9	40.6835	-65.90727	-117.16848	8.95037	72.41663	-84.62168	34.98781	42.31084	104.14976	279.90248	-111.47279	-86.24902	0
10	-2.44101	-109.03178	-117.16848	52.07488	51.26121	-106.59077	34.98781	42.31084	82.99434	279.90248	-111.47279	-86.24902	0
11	-23.59643	-130.1872	-117.16848	73.2303	40.6835	-117.16848	34.98781	21.15542	72.41663	269.32477	-122.0505	-107.40444	0
12	-23.59643	-130.1872	-117.16848	73.2303	40.6835	-117.16848	24.4101	21.15542	72.41663	269.32477	-132.62821	-107.40444	0
13	-23.59643	-130.1872	-96.01306	73.2303	40.6835	-117.16848	24.4101	21.15542	104.14976	269.32477	-132.62821	-107.40444	0
14	-23.59643	-130.1872	-96.01306	73.2303	40.6835	-117.16848	24.4101	42.31084	104.14976	258.74706	-132.62821	-118.79582	0
15	-13.01872	-119.60949	-96.01306	73.2303	40.6835	-106.59077	13.83239	42.31084	104.14976	247.35568	-132.62821	-129.37353	0
16	-13.01872	-119.60949	-96.01306	73.2303	40.6835	-106.59077	13.83239	42.31084	104.14976	236.77797	-132.62821	-139.95124	0
17	-2.44101	-119.60949	-117.16848	52.07488	51.26121	-117.16848	13.83239	21.15542	126.11885	236.77797	-132.62821	-139.95124	0
18	8.95037	-109.03178	-117.16848	40.6835	61.83892	-117.16848	34.98781	21.15542	136.69656	236.77797	-111.47279	-118.79582	0
19	19.52808	-98.45407	-117.16848	30.10579	61.83892	-117.16848	34.98781	42.31084	136.69656	236.77797	-111.47279	-118.79582	0
20	19.52808	-98.45407	-117.16848	30.10579	61.83892	-117.16848	34.98781	42.31084	136.69656	226.20026	-111.47279	-107.40444	0
21	19.52808	-98.45407	-128.55986	62.65259	61.83892	-117.16848	13.83239	21.15542	136.69656	215.62255	-132.62821	-107.40444	0
22	-23.59643	-130.1872	-128.55986	73.2303	61.83892	-117.16848	13.83239	21.15542	136.69656	215.62255	-132.62821	-129.37353	0
23	-23.59643	-130.1872	-128.55986	73.2303	40.6835	-117.16848	13.83239	21.15542	136.69656	215.62255	-111.47279	-129.37353	0
24	-23.59643	-130.1872	-106.59077	73.2303	40.6835	-117.16848	24.4101	21.15542	136.69656	215.62255	-100.08141	-107.40444	0
25	-23.59643	-130.1872	-106.59077	73.2303	40.6835	-117.16848	24.4101	42.31084	147.27427	236.77797	-89.5037	-107.40444	0
26	-13.01872	-119.60949	-106.59077	62.65259	40.6835	-117.16848	24.4101	42.31084	147.27427	247.35568	-79.73966	-96.82673	0
27	-13.01872	-119.60949	-106.59077	62.65259	40.6835	-106.59077	24.4101	42.31084	157.85198	247.35568	-69.16195	-86.24902	0
28	-2.44101	-98.45407	-96.01306	40.6835	51.26121	-95.19939	24.4101	42.31084	157.85198	258.74706	-69.16195	-86.24902	0
29	8.95037	-98.45407	-96.01306	40.6835	51.26121	-95.19939	24.4101	42.31084	157.85198	236.77797	-58.58424	-86.24902	0
30	8.95037	-98.45407	-96.01306	40.6835	51.26121	-95.19939	24.4101	42.31084	157.85198	236.77797	-58.58424	-86.24902	0
31	8.95037	-87.06269	-96.01306	30.10579	51.26121	-84.62168	24.4101	42.31084	136.69656	226.20026	-58.58424	-86.24902	0
32	8.95037	-87.06269	-96.01306	30.10579	51.26121	-84.62168	24.4101	42.31084	136.69656	226.20026	-58.58424	-86.24902	0
33	-2.44101	-109.03178	-96.01306	52.07488	51.26121	-106.59077	24.4101	42.31084	136.69656	226.20026	-58.58424	-96.82673	0
34	-2.44101	-109.03178	-106.59077	52.07488	51.26121	-106.59077	24.4101	31.73313	136.69656	226.20026	-58.58424	-96.82673	0
35	-2.44101	-109.03178	-106.59077	52.07488	51.26121	-106.59077	24.4101	31.73313	136.69656	226.20026	-58.58424	-86.24902	0
36	-2.44101	-109.03178	-106.59077	52.07488	51.26121	-106.59077	24.4101	42.31084	126.11885	215.62255	-48.00653	-86.24902	0
37	-2.44101	-98.45407	-106.59077	40.6835	51.26121	-95.19939	24.4101	42.31084	126.11885	215.62255	-36.61515	-86.24902	0
38	8.95037	-87.06269	-96.01306	30.10579	40.6835	-84.62168	34.98781	42.31084	126.11885	215.62255	-26.03744	-75.67131	0
39	8.95037	-87.06269	-117.16848	30.10579	61.83892	-84.62168	34.98781	42.31084	115.54114	205.04484	-26.03744	-75.67131	0
40	8.95037	-109.03178	-117.16848	40.6835	61.83892	-106.59077	34.98781	42.31084	104.14976	193.65346	-48.00653	-96.82673	0
41	8.95037	-109.03178	-128.55986	52.07488	61.83892	-106.59077	34.98781	42.31084	104.14976	193.65346	-48.00653	-96.82673	0
42	-2.44101	-119.60949	-128.55986	62.65259	61.83892	-117.16848	13.83239	42.31084	104.14976	193.65346	-48.00653	-96.82673	0
43	-13.01872	-130.1872	-128.55986	73.2303	61.83892	-117.16848	13.83239	42.31084	104.14976	193.65346	-26.03744	-96.82673	0
44	-13.01872	-130.1872	-128.55986	73.2303	51.26121	-117.16848	13.83239	42.31084	93.57205	193.65346	-15.45973	-96.82673	0
45	-23.59643	-130.1872	-128.55986	73.2303	51.26121	-117.16848	13.83239	42.31084	82.99434	215.62255	-15.45973	-96.82673	0
46	-23.59643	-119.60949	-106.59077	73.2303	40.6835	-106.59077	24.4101	42.31084	72.41663	193.65346	-15.45973	-96.82673	0
47	-23.59643	-119.60949	-96.01306	62.65259	40.6835	-106.59077	34.98781	42.31084	72.41663	193.65346	-36.61515	-96.82673	0
48	-23.59643	-109.03178	-96.01306	62.65259	40.6835	-106.59077	34.98781	42.31084	72.41663	226.20026	-36.61515	-96.82673	0
49	-2.44101	-109.03178	-96.01306	52.07488	40.6835	-106.59077	34.98781	53.70222	72.41663	226.20026	-36.61515	-96.82673	0
50	19.52808	-98.45407	-117.16848	40.6835	61.83892	-95.19939	13.83239	53.70222	51.26121	226.20026	-15.45973	-96.82673	0
51	19.52808	-98.45407	-117.16848	30.10579	61.83892	-95.19939	13.83239	53.70222	51.26121	226.20026	-15.45973	-96.82673	0
52	-13.01872	-119.60949	-117.16848	62.65259	40.6835	-95.19939	3.25468	53.70222	51.26121	193.65346	-4.88202	-96.82673	0
53	-23.59643	-119.60949	-96.01306	73.2303	30.10579	-106.59077	3.25468	31.73313	51.26121	193.65346	-4.88202	-96.82673	0
54	-23.59643	-119.60949	-96.01306	73.2303	30.10579	-106.59077	3.25468	31.73313	51.26121	193.65346	-4.88202	-96.82673	0
55	-13.01872	-119.60949	-96.01306	73.2303	51.26121	-95.19939	13.83239	31.73313	51.26121	215.62255	-4.88202	-75.67131	0
56	-2.44101	-98.45407	-96.01306	40.6835	40.6835	-95.19939	13.83239	42.31084	51.26121	215.62255	-4.88202	-75.67131	0
57	-2.44101	-87.06269	-85.43535	40.6835	40.6835	-84.62168	13.83239	53.70222	51.26121	226.20026	-4.88202	-65.0936	0
58	-2.44101	-76.48498	-74.85764	30.10579	40.6835	-84.62168	24.4101	53.70222	51.26121	236.77797	-4.88202	-54.51589	0
59	8.95037	-76.48498	-74.85764	30.10579	40.6835	-84.62168	24.4101	53.70222	51.26121	236.77797	5.69569	-54.51589	0
60	8.95037	-76.48498	-74.85764	30.10579	40.6835	-84.62168	24.4101	53.70222	51.26121	236.77797	5.69569	-54.51589	0
61	8.95037	-76.48498	-96.01306	30.10579	51.26121	-84.62168	34.98781	53.70222	51.26121	247.35568	5.69569	-54.51589	0
62	8.95037	-76.48498	-96.01306	30.10579	51.26121	-84.62168	34.98781	64.27993	51.26121	247.35568	5.69569	-65.0936	0
63	8.95037	-76.48498	-74.85764	30.10579	51.26121	-74.04397	46.37919	64.27993	51.26121	247.35568	5.69569	-65.0936	0
64	8.95037	-65.90727	-64.27993	30.10579	30.10579	-63.46626	46.37919	74.85764	51.26121	258.74706	5.69569	-54.51589	0
65	8.95037	-65.90727	-64.27993	30.10579	30.10579	-63.46626	56.9569	85.43535	72.41663	258.74706	5.69569	-43.12451	0
66	8.95037	-65.90727	-64.27993	30.10579	30.10579	-84.62168	56.9569	85.43535	72.41663	258.74706	-4.88202	-43.12451	0
