samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	0	-2.44101	-2.44101	0	1.62734	-2.44101	-1.62734	-6.50936	-1.62734	-2.44101	-4.88202	-1.62734	0
1	4.06835	-9.76404	-11.39138	0.81367	7.32303	-9.76404	-8.1367	-28.47845	-6.50936	-12.20505	-21.15542	-6.50936	0
2	8.1367	-18.71441	-25.22377	0	11.39138	-13.83239	-15.45973	-56.9569	-13.83239	-25.22377	-42.31084	-12.20505	0
3	7.32303	-21.15542	-38.24249	0	8.1367	-12.20505	-19.52808	-81.367	-17.08707	-37.42882	-57.77057	-17.90074	0
4	3.25468	-19.52808	-40.6835	2.44101	4.06835	-9.76404	-20.34175	-94.38572	-16.2734	-45.56552	-67.53461	-22.78276	0
5	0	-17.90074	-34.17414	4.88202	1.62734	-9.76404	-21.96909	-100.08141	-14.64606	-48.00653	-74.04397	-26.03744	0
6	-4.06835	-17.90074	-23.59643	8.95037	0	-10.57771	-21.96909	-102.52242	-13.83239	-46.37919	-77.29865	-28.47845	0
7	-10.57771	-21.15542	-13.01872	14.64606	-2.44101	-9.76404	-21.96909	-101.70875	-12.20505	-41.49717	-77.29865	-30.10579	0
8	-14.64606	-22.78276	-8.95037	18.71441	-3.25468	-9.76404	-24.4101	-101.70875	-12.20505	-34.17414	-78.11232	-29.29212	0
9	-17.08707	-21.96909	-5.69569	20.34175	-4.88202	-8.95037	-26.85111	-104.14976	-15.45973	-30.10579	-77.29865	-26.85111	0
10	-22.78276	-20.34175	0.81367	21.96909	-11.39138	-5.69569	-28.47845	-108.21811	-17.90074	-29.29212	-74.04397	-25.22377	0
11	-25.22377	-16.2734	8.1367	20.34175	-17.08707	-4.06835	-28.47845	-110.65912	-19.52808	-31.73313	-70.78929	-24.4101	0
12	-21.96909	-13.01872	9.76404	17.08707	-17.08707	-6.50936	-30.10579	-113.10013	-20.34175	-35.80148	-68.34828	-24.4101	0
13	-19.52808	-13.83239	8.95037	15.45973	-17.08707	-9.76404	-33.36047	-117.98215	-23.59643	-40.6835	-65.0936	-22.78276	0
14	-16.2734	-16.2734	4.06835	14.64606	-12.20505	-12.20505	-38.24249	-122.86417	-27.66478	-42.31084	-63.46626	-21.15542	0
15	-8.95037	-18.71441	-4.88202	12.20505	-3.25468	-16.2734	-42.31084	-126.93252	-31.73313	-43.93818	-65.0936	-21.96909	0
16	-4.88202	-20.34175	-10.57771	11.39138	2.44101	-17.08707	-44.75185	-126.93252	-31.73313	-44.75185	-65.90727	-23.59643	0
17	-5.69569	-21.96909	-9.76404	13.01872	2.44101	-13.83239	-44.75185	-123.67784	-28.47845	-41.49717	-65.90727	-27.66478	0
18	-8.1367	-21.15542	-8.95037	14.64606	0.81367	-10.57771	-41.49717	-117.98215	-23.59643	-35.80148	-66.72094	-31.73313	0
19	-7.32303	-16.2734	-8.95037	12.20505	0.81367	-7.32303	-38.24249	-112.28646	-17.08707	-30.91946	-65.0936	-32.5468	0
20	-1.62734	-8.1367	-8.1367	4.88202	2.44101	-3.25468	-34.98781	-108.21811	-13.83239	-28.47845	-61.02525	-28.47845	0
21	-4.06835	-2.44101	-8.1367	2.44101	5.69569	-3.25468	-31.73313	-105.7771	-13.83239	-27.66478	-56.14323	-21.96909	0
22	-20.34175	-3.25468	-8.1367	11.39138	8.1367	-7.32303	-32.5468	-106.59077	-16.2734	-29.29212	-51.26121	-15.45973	0
23	-34.98781	-9.76404	-4.88202	21.15542	4.06835	-13.01872	-35.80148	-109.03178	-21.96909	-34.98781	-47.19286	-14.64606	0
24	-39.86983	-17.08707	-0.81367	26.85111	-2.44101	-15.45973	-39.86983	-109.03178	-26.85111	-38.24249	-44.75185	-15.45973	0
25	-39.05616	-22.78276	0.81367	29.29212	-8.95037	-16.2734	-41.49717	-106.59077	-28.47845	-38.24249	-44.75185	-16.2734	0
26	-26.85111	-27.66478	-5.69569	26.03744	-4.06835	-19.52808	-43.12451	-105.7771	-26.85111	-35.80148	-45.56552	-16.2734	0
27	-0.81367	-30.91946	-21.15542	15.45973	7.32303	-28.47845	-43.12451	-106.59077	-25.22377	-35.80148	-46.37919	-17.08707	0
28	23.59643	-28.47845	-28.47845	2.44101	10.57771	-35.80148	-42.31084	-105.7771	-21.96909	-39.86983	-43.93818	-15.45973	0
29	36.61515	-24.4101	-31.73313	-5.69569	11.39138	-36.61515	-41.49717	-104.96343	-18.71441	-44.75185	-43.93818	-13.83239	0
30	35.80148	-21.96909	-34.17414	-6.50936	14.64606	-35.80148	-43.12451	-105.7771	-18.71441	-44.75185	-47.19286	-14.64606	0
31	28.47845	-21.96909	-34.98781	-4.06835	17.90074	-30.10579	-44.75185	-104.96343	-20.34175	-40.6835	-48.8202	-14.64606	0
32	22.78276	-21.96909	-32.5468	-2.44101	18.71441	-21.96909	-46.37919	-104.14976	-20.34175	-34.98781	-47.19286	-13.01872	0
33	15.45973	-20.34175	-25.22377	-0.81367	15.45973	-18.71441	-48.00653	-100.89508	-21.15542	-30.91946	-42.31084	-13.01872	0
34	8.1367	-19.52808	-19.52808	1.62734	12.20505	-19.52808	-48.00653	-96.01306	-21.96909	-28.47845	-39.86983	-13.01872	0
35	4.06835	-19.52808	-18.71441	4.88202	11.39138	-20.34175	-45.56552	-91.13104	-21.15542	-26.03744	-38.24249	-12.20505	0
36	0	-18.71441	-16.2734	8.95037	8.95037	-20.34175	-42.31084	-89.5037	-19.52808	-23.59643	-38.24249	-12.20505	0
37	-6.50936	-17.90074	-7.32303	14.64606	4.88202	-18.71441	-39.86983	-87.87636	-17.08707	-19.52808	-39.86983	-12.20505	0
38	-11.39138	-19.52808	2.44101	20.34175	2.44101	-18.71441	-39.05616	-88.69003	-16.2734	-14.64606	-43.12451	-10.57771	0
39	-11.39138	-21.96909	4.88202	21.15542	3.25468	-19.52808	-38.24249	-91.13104	-18.71441	-10.57771	-44.75185	-9.76404	0
40	-9.76404	-23.59643	-0.81367	18.71441	4.88202	-20.34175	-38.24249	-94.38572	-21.96909	-12.20505	-44.75185	-8.95037	0
41	-3.25468	-21.96909	-8.95037	13.83239	8.1367	-19.52808	-37.42882	-96.01306	-24.4101	-16.2734	-45.56552	-7.32303	0
42	4.06835	-17.90074	-17.08707	5.69569	12.20505	-18.71441	-33.36047	-93.57205	-26.85111	-18.71441	-46.37919	-6.50936	0
43	9.76404	-13.83239	-18.71441	0	13.01872	-18.71441	-28.47845	-87.06269	-27.66478	-17.90074	-43.12451	-7.32303	0
44	6.50936	-14.64606	-16.2734	1.62734	9.76404	-19.52808	-26.03744	-80.55333	-24.4101	-15.45973	-39.05616	-9.76404	0
45	-2.44101	-20.34175	-13.83239	9.76404	3.25468	-21.15542	-25.22377	-76.48498	-18.71441	-14.64606	-36.61515	-9.76404	0
46	-13.83239	-28.47845	-11.39138	19.52808	-1.62734	-21.96909	-28.47845	-74.04397	-15.45973	-14.64606	-33.36047	-9.76404	0
47	-20.34175	-34.98781	-9.76404	26.85111	-4.88202	-19.52808	-34.17414	-74.85764	-14.64606	-13.01872	-32.5468	-12.20505	0
48	-16.2734	-36.61515	-17.08707	26.03744	0	-16.2734	-39.86983	-75.67131	-17.08707	-10.57771	-34.98781	-13.83239	0
49	-11.39138	-34.98781	-24.4101	23.59643	5.69569	-15.45973	-42.31084	-77.29865	-21.96909	-9.76404	-37.42882	-15.45973	0
50	-12.20505	-35.80148	-25.22377	24.4101	5.69569	-18.71441	-41.49717	-78.92599	-25.22377	-10.57771	-37.42882	-15.45973	0
51	-13.01872	-39.86983	-26.03744	24.4101	4.88202	-25.22377	-39.86983	-78.92599	-26.03744	-13.01872	-36.61515	-13.01872	0
52	-8.1367	-44.75185	-29.29212	21.15542	8.1367	-34.17414	-37.42882	-76.48498	-27.66478	-13.83239	-34.17414	-11.39138	0
53	-1.62734	-48.00653	-32.5468	17.90074	13.01872	-39.86983	-33.36047	-69.97562	-28.47845	-12.20505	-30.91946	-13.01872	0
54	3.25468	-45.56552	-35.80148	14.64606	17.90074	-42.31084	-30.10579	-65.90727	-24.4101	-10.57771	-28.47845	-15.45973	0
55	9.76404	-39.86983	-40.6835	10.57771	24.4101	-42.31084	-26.85111	-63.46626	-17.08707	-10.57771	-26.85111	-14.64606	0
56	10.57771	-34.98781	-39.86983	4.88202	25.22377	-39.05616	-22.78276	-60.21158	-12.20505	-8.95037	-25.22377	-13.83239	0
57	2.44101	-32.5468	-31.73313	0	18.71441	-31.73313	-19.52808	-56.9569	-8.1367	-8.95037	-22.78276	-13.01872	0
58	-8.1367	-30.91946	-23.59643	0.81367	8.1367	-22.78276	-16.2734	-55.32956	-7.32303	-11.39138	-18.71441	-12.20505	0
59	-13.83239	-29.29212	-18.71441	6.50936	1.62734	-16.2734	-16.2734	-57.77057	-10.57771	-12.20505	-17.08707	-10.57771	0
60	-10.57771	-25.22377	-17.90074	7.32303	3.25468	-14.64606	-19.52808	-61.83892	-15.45973	-12.20505	-20.34175	-10.57771	0
61	0	-21.15542	-22.78276	4.06835	9.76404	-17.90074	-20.34175	-61.83892	-17.08707	-12.20505	-24.4101	-10.57771	0
62	9.76404	-21.15542	-26.03744	0	16.2734	-26.03744	-18.71441	-60.21158	-17.08707	-13.01872	-26.85111	-10.57771	0
63	10.57771	-23.59643	-24.4101	0.81367	15.45973	-32.5468	-15.45973	-57.77057	-17.08707	-14.64606	-27.66478	-8.95037	0
64	3.25468	-27.66478	-20.34175	8.1367	9.76404	-34.98781	-13.01872	-55.32956	-17.90074	-13.83239	-28.47845	-8.1367	0
65	-2.44101	-32.5468	-21.15542	14.64606	8.1367	-35.80148	-13.01872	-52.88855	-17.08707	-13.01872	-31.73313	-10.57771	0
66	-5.69569	-34.98781	-23.59643	19.52808	8.95037	-35.80148	-16.2734	-51.26121	-16.2734	-13.01872	-34.98781	-15.45973	0
67	-7.32303	-33.36047	-25.22377	22.78276	9.76404	-33.36047	-22.78276	-50.44754	-15.45973	-12.20505	-39.86983	-21.96909	0
68	-4.88202	-30.91946	-29.29212	21.96909	12.20505	-30.91946	-30.10579	-50.44754	-13.83239	-8.95037	-44.75185	-27.66478	0
69	-2.44101	-26.85111	-31.73313	18.71441	14.64606	-28.47845	-33.36047	-49.63387	-10.57771	-7.32303	-45.56552	-30.10579	0
