samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-0.81367	-0.81367	0	0.81367	0	0	-0.81367	-3.25468	-4.88202	-3.25468	-0.81367	-0.81367	0
1	-4.88202	-5.69569	0	4.88202	-2.44101	-2.44101	-4.06835	-17.08707	-21.96909	-14.64606	-6.50936	-4.06835	0
2	-12.20505	-13.01872	-0.81367	12.20505	-5.69569	-6.50936	-10.57771	-38.24249	-49.63387	-33.36047	-15.45973	-10.57771	0
3	-18.71441	-21.15542	-1.62734	19.52808	-8.95037	-11.39138	-17.08707	-61.02525	-80.55333	-53.70222	-26.03744	-17.08707	0
4	-25.22377	-28.47845	-2.44101	26.85111	-11.39138	-15.45973	-23.59643	-83.80801	-110.65912	-74.04397	-35.80148	-24.4101	0
5	-30.10579	-34.17414	-4.06835	31.73313	-13.01872	-19.52808	-29.29212	-103.33609	-137.51023	-92.75838	-45.56552	-30.91946	0
6	-32.5468	-39.05616	-6.50936	34.98781	-13.01872	-22.78276	-34.17414	-118.79582	-160.29299	-108.21811	-53.70222	-37.42882	0
7	-33.36047	-43.12451	-9.76404	37.42882	-12.20505	-26.03744	-39.05616	-130.1872	-178.19373	-120.42316	-60.21158	-43.12451	0
8	-32.5468	-45.56552	-13.01872	38.24249	-9.76404	-29.29212	-42.31084	-138.3239	-191.21245	-129.37353	-65.90727	-48.8202	0
9	-30.91946	-47.19286	-16.2734	38.24249	-7.32303	-31.73313	-43.93818	-142.39225	-199.34915	-135.88289	-70.78929	-52.88855	0
10	-29.29212	-48.00653	-18.71441	38.24249	-5.69569	-33.36047	-44.75185	-143.20592	-203.4175	-138.3239	-73.2303	-55.32956	0
11	-30.10579	-48.8202	-18.71441	38.24249	-5.69569	-33.36047	-43.93818	-140.76491	-202.60383	-138.3239	-73.2303	-56.14323	0
12	-32.5468	-49.63387	-17.08707	39.86983	-7.32303	-33.36047	-41.49717	-135.88289	-200.16282	-135.88289	-72.41663	-56.14323	0
13	-33.36047	-49.63387	-16.2734	40.6835	-8.95037	-33.36047	-39.05616	-131.00087	-196.09447	-132.62821	-70.78929	-55.32956	0
14	-32.5468	-50.44754	-17.90074	40.6835	-7.32303	-34.17414	-37.42882	-126.93252	-193.65346	-131.00087	-69.97562	-55.32956	0
15	-29.29212	-50.44754	-21.15542	39.05616	-4.06835	-35.80148	-36.61515	-124.49151	-192.02612	-131.00087	-70.78929	-56.14323	0
16	-26.85111	-51.26121	-23.59643	38.24249	-1.62734	-37.42882	-35.80148	-122.0505	-190.39878	-131.00087	-71.60296	-56.9569	0
17	-26.03744	-50.44754	-24.4101	37.42882	-0.81367	-37.42882	-34.98781	-119.60949	-189.58511	-131.00087	-72.41663	-57.77057	0
18	-26.03744	-49.63387	-23.59643	37.42882	-1.62734	-36.61515	-33.36047	-117.98215	-188.77144	-131.00087	-73.2303	-57.77057	0
19	-27.66478	-49.63387	-21.96909	37.42882	-2.44101	-35.80148	-32.5468	-116.35481	-187.95777	-131.00087	-73.2303	-57.77057	0
20	-28.47845	-49.63387	-20.34175	38.24249	-4.06835	-34.98781	-32.5468	-114.72747	-187.1441	-131.00087	-73.2303	-58.58424	0
21	-30.10579	-49.63387	-19.52808	39.05616	-5.69569	-34.17414	-32.5468	-113.9138	-185.51676	-131.00087	-73.2303	-57.77057	0
22	-31.73313	-49.63387	-17.90074	39.86983	-7.32303	-33.36047	-32.5468	-112.28646	-184.70309	-130.1872	-72.41663	-57.77057	0
23	-31.73313	-48.8202	-16.2734	39.86983	-8.1367	-32.5468	-32.5468	-111.47279	-183.07575	-129.37353	-71.60296	-57.77057	0
24	-31.73313	-48.8202	-16.2734	39.05616	-8.1367	-32.5468	-32.5468	-111.47279	-183.07575	-129.37353	-72.41663	-58.58424	0
25	-32.5468	-48.8202	-15.45973	39.86983	-8.1367	-32.5468	-32.5468	-110.65912	-182.26208	-128.55986	-72.41663	-59.39791	0
26	-34.98781	-49.63387	-14.64606	41.49717	-9.76404	-31.73313	-31.73313	-109.84545	-181.44841	-128.55986	-72.41663	-59.39791	0
27	-38.24249	-50.44754	-12.20505	43.12451	-13.01872	-30.91946	-30.10579	-108.21811	-180.63474	-128.55986	-71.60296	-58.58424	0
