samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	0	-0.81367	0	0	0	-0.81367	0	0	0	0	0	0	0
1	-1.62734	-4.06835	-2.44101	2.44101	0	-3.25468	0	0	0	-0.81367	0	0.81367	0
2	-4.06835	-9.76404	-6.50936	6.50936	0.81367	-8.1367	0	0	0	-2.44101	-0.81367	2.44101	0
3	-7.32303	-17.08707	-9.76404	11.39138	0.81367	-13.01872	0	0	0	-4.88202	-1.62734	4.06835	0
4	-11.39138	-22.78276	-12.20505	17.08707	0	-17.90074	0	0	0	-7.32303	-2.44101	5.69569	0
5	-14.64606	-26.85111	-12.20505	20.34175	-1.62734	-19.52808	0	0	0	-8.95037	-4.06835	7.32303	0
6	-17.08707	-27.66478	-10.57771	21.96909	-3.25468	-19.52808	0	0	0	-9.76404	-4.06835	8.95037	0
7	-17.90074	-25.22377	-8.1367	21.15542	-4.88202	-17.08707	0	0	0	-10.57771	-4.06835	11.39138	0
8	-16.2734	-21.15542	-5.69569	17.90074	-4.88202	-13.83239	0	0	0	-11.39138	-4.06835	13.01872	0
9	-14.64606	-16.2734	-2.44101	14.64606	-5.69569	-9.76404	0	0	0	-13.01872	-4.88202	14.64606	0
10	-13.01872	-11.39138	1.62734	11.39138	-8.1367	-4.06835	0	0	0	-15.45973	-4.88202	16.2734	0
11	-13.83239	-4.88202	7.32303	8.1367	-10.57771	0.81367	0	0	0	-17.08707	-5.69569	17.90074	0
12	-14.64606	0	14.64606	6.50936	-14.64606	7.32303	0	0	0	-18.71441	-4.88202	19.52808	0
13	-17.90074	4.88202	22.78276	4.88202	-20.34175	13.83239	0	0	0	-19.52808	-4.88202	20.34175	0
14	-22.78276	8.95037	31.73313	5.69569	-27.66478	20.34175	0	0	0	-20.34175	-4.88202	20.34175	0
15	-28.47845	10.57771	39.86983	7.32303	-34.17414	25.22377	0	0	0	-21.15542	-4.88202	19.52808	0
16	-34.17414	11.39138	46.37919	10.57771	-40.6835	28.47845	0	0	0	-21.15542	-4.06835	17.08707	0
17	-39.05616	10.57771	49.63387	13.01872	-44.75185	30.10579	0	0	0	-19.52808	-3.25468	15.45973	0
18	-41.49717	9.76404	51.26121	14.64606	-46.37919	30.91946	0	0	0	-17.08707	-1.62734	13.01872	0
19	-40.6835	10.57771	50.44754	13.83239	-45.56552	30.10579	0	0	0	-13.01872	0	13.01872	0
20	-36.61515	11.39138	48.00653	11.39138	-43.12451	30.10579	0	0	0	-8.1367	4.06835	13.83239	0
21	-31.73313	13.01872	45.56552	8.1367	-39.05616	29.29212	0	0	0	-2.44101	9.76404	16.2734	0
22	-26.85111	15.45973	42.31084	4.88202	-34.98781	28.47845	0	0	0	2.44101	13.83239	19.52808	0
23	-21.96909	17.08707	39.05616	1.62734	-30.91946	27.66478	0	0	0	7.32303	17.90074	21.96909	0
24	-18.71441	17.90074	36.61515	0	-27.66478	26.85111	0	0	0	9.76404	21.15542	23.59643	0
25	-15.45973	19.52808	34.98781	-2.44101	-25.22377	26.85111	0	0	0	11.39138	22.78276	24.4101	0
26	-13.01872	22.78276	35.80148	-4.88202	-24.4101	29.29212	0	0	0	12.20505	22.78276	25.22377	0
