samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-1.62734	2.44101	4.06835	0	-8.95037	3.25468	0.81367	-0.81367	-2.44101	-4.06835	-3.25468	0	0
1	-8.95037	7.32303	19.52808	0	-33.36047	16.2734	4.06835	-5.69569	-11.39138	-13.83239	-15.45973	0	0
2	-18.71441	11.39138	41.49717	-0.81367	-55.32956	32.5468	10.57771	-17.08707	-20.34175	-23.59643	-30.91946	0	0
3	-25.22377	17.90074	59.39791	-2.44101	-62.65259	43.93818	18.71441	-28.47845	-23.59643	-34.17414	-42.31084	2.44101	0
4	-27.66478	30.10579	69.16195	-5.69569	-61.83892	52.88855	21.96909	-37.42882	-26.85111	-43.93818	-48.8202	7.32303	0
5	-28.47845	42.31084	74.04397	-8.1367	-60.21158	61.83892	21.96909	-43.12451	-30.91946	-50.44754	-50.44754	12.20505	0
6	-27.66478	52.07488	73.2303	-8.95037	-60.21158	65.0936	19.52808	-48.00653	-34.17414	-53.70222	-50.44754	15.45973	0
7	-28.47845	58.58424	70.78929	-7.32303	-58.58424	61.83892	16.2734	-48.8202	-39.86983	-55.32956	-51.26121	16.2734	0
8	-31.73313	57.77057	69.16195	-3.25468	-56.9569	59.39791	13.01872	-48.00653	-48.00653	-55.32956	-52.07488	14.64606	0
9	-34.98781	48.8202	69.16195	0	-56.14323	57.77057	11.39138	-48.00653	-54.51589	-56.14323	-52.88855	13.01872	0
10	-36.61515	39.86983	69.16195	0	-61.02525	54.51589	11.39138	-48.00653	-56.9569	-60.21158	-54.51589	12.20505	0
11	-35.80148	31.73313	69.16195	0	-71.60296	52.07488	10.57771	-49.63387	-58.58424	-65.90727	-55.32956	9.76404	0
12	-34.98781	23.59643	67.53461	0	-75.67131	50.44754	11.39138	-53.70222	-57.77057	-71.60296	-56.14323	9.76404	0
13	-31.73313	19.52808	65.0936	0	-68.34828	46.37919	13.83239	-59.39791	-51.26121	-73.2303	-52.88855	13.01872	0
14	-27.66478	23.59643	61.83892	-3.25468	-57.77057	44.75185	13.01872	-62.65259	-47.19286	-69.97562	-47.19286	18.71441	0
15	-23.59643	31.73313	59.39791	-6.50936	-49.63387	49.63387	9.76404	-65.90727	-46.37919	-63.46626	-41.49717	22.78276	0
16	-19.52808	34.17414	56.14323	-8.95037	-46.37919	51.26121	7.32303	-69.16195	-48.00653	-58.58424	-37.42882	22.78276	0
17	-15.45973	30.91946	52.07488	-11.39138	-43.12451	50.44754	4.06835	-69.97562	-52.88855	-55.32956	-36.61515	22.78276	0
18	-13.83239	28.47845	50.44754	-12.20505	-39.05616	50.44754	0	-70.78929	-61.83892	-55.32956	-39.05616	21.96909	0
19	-15.45973	28.47845	51.26121	-11.39138	-37.42882	50.44754	-4.06835	-73.2303	-70.78929	-59.39791	-43.12451	20.34175	0
20	-17.90074	29.29212	54.51589	-9.76404	-36.61515	48.00653	-6.50936	-76.48498	-75.67131	-65.90727	-48.8202	17.08707	0
21	-21.15542	29.29212	59.39791	-8.95037	-35.80148	49.63387	-7.32303	-79.73966	-78.11232	-74.04397	-52.88855	13.83239	0
22	-23.59643	26.03744	65.0936	-8.95037	-38.24249	52.88855	-6.50936	-84.62168	-77.29865	-82.18067	-56.14323	11.39138	0
23	-26.85111	24.4101	69.16195	-6.50936	-42.31084	52.88855	-3.25468	-90.31737	-73.2303	-87.06269	-56.9569	11.39138	0
24	-28.47845	30.91946	70.78929	-5.69569	-45.56552	52.88855	-3.25468	-94.38572	-71.60296	-89.5037	-56.14323	13.01872	0
25	-29.29212	39.86983	69.97562	-5.69569	-49.63387	56.9569	-6.50936	-98.45407	-74.85764	-88.69003	-56.14323	13.01872	0
26	-26.85111	42.31084	67.53461	-7.32303	-53.70222	59.39791	-8.95037	-102.52242	-77.29865	-87.06269	-55.32956	9.76404	0
27	-24.4101	36.61515	64.27993	-8.1367	-54.51589	58.58424	-11.39138	-102.52242	-81.367	-83.80801	-56.14323	7.32303	0
28	-23.59643	30.91946	62.65259	-8.1367	-52.07488	57.77057	-13.83239	-100.89508	-89.5037	-82.99434	-58.58424	6.50936	0
29	-25.22377	26.85111	62.65259	-7.32303	-49.63387	56.14323	-15.45973	-100.08141	-96.01306	-84.62168	-62.65259	5.69569	0
30	-28.47845	23.59643	63.46626	-4.06835	-47.19286	52.07488	-16.2734	-100.08141	-99.26774	-90.31737	-68.34828	3.25468	0
31	-33.36047	20.34175	65.0936	0	-42.31084	49.63387	-17.08707	-99.26774	-102.52242	-99.26774	-73.2303	0	0
32	-34.98781	15.45973	65.90727	0.81367	-39.05616	48.00653	-15.45973	-101.70875	-101.70875	-107.40444	-75.67131	-0.81367	0
33	-32.5468	14.64606	64.27993	0.81367	-39.05616	45.56552	-12.20505	-104.96343	-96.82673	-111.47279	-74.85764	0.81367	0
34	-30.91946	19.52808	62.65259	0	-39.86983	43.93818	-12.20505	-106.59077	-94.38572	-110.65912	-72.41663	4.88202	0
35	-30.91946	25.22377	61.02525	0	-43.93818	47.19286	-14.64606	-109.84545	-95.19939	-107.40444	-69.97562	8.95037	0
